id,x6,x7,x8,x9,x10,x11,x12,y,x0,x1,x2,x3,x4,x5
110,5,5,3,1,1,4,6,19,15,4,4,1,1,0
111,4,1,2,1,1,2,0,10,16,3,3,1,3,1
112,3,1,2,1,1,5,6,13,16,2,2,1,2,1
113,3,5,2,1,1,3,10,19,15,4,2,1,1,0
114,5,4,2,1,1,5,8,9,15,2,1,1,2,0
115,5,4,4,1,2,5,2,16,16,4,4,1,2,0
116,4,4,3,1,1,2,2,14,15,4,4,2,2,0
117,5,4,2,1,1,5,0,13,16,3,3,2,1,0
118,5,2,4,1,4,5,20,8,17,1,3,3,2,1
119,3,4,3,1,2,4,6,13,15,3,4,1,1,0
120,3,2,3,1,2,1,2,15,15,1,2,1,2,0
121,5,5,4,1,2,5,6,15,15,2,2,1,4,0
122,4,2,2,1,2,5,2,13,16,2,4,2,2,0
123,3,4,4,1,4,5,18,13,16,4,4,1,1,0
124,5,4,4,1,1,5,0,8,16,2,2,1,2,0
125,5,5,5,3,2,5,0,12,15,3,4,1,1,0
126,5,3,2,1,1,1,0,11,15,3,4,1,2,0
127,3,4,2,1,1,5,2,9,19,0,1,1,2,3
128,3,3,3,1,2,4,0,0,18,2,2,1,1,2
129,3,5,5,2,5,4,8,18,16,4,4,1,1,0
130,4,2,2,2,2,5,0,0,15,3,4,2,3,2
131,4,3,3,1,2,4,0,0,15,1,1,3,1,0
132,3,4,4,1,3,5,12,12,17,2,2,1,1,0
133,3,2,1,1,4,5,16,11,16,3,4,1,1,0
134,5,3,3,1,1,5,0,0,15,3,4,4,2,0
135,4,3,3,1,1,5,0,0,15,4,4,1,3,0
136,5,4,5,2,4,5,0,0,17,3,4,3,2,0
137,4,3,2,1,1,5,0,0,16,3,3,2,1,2
138,4,4,4,1,3,5,0,12,16,1,1,1,2,1
139,4,3,2,1,1,5,0,15,15,4,4,2,1,0
140,2,2,2,1,1,3,0,0,15,4,3,2,4,0
141,2,3,3,2,2,2,8,9,16,2,2,2,1,2
142,4,2,2,1,1,5,2,11,15,4,4,1,3,0
143,3,4,4,3,3,1,2,13,16,1,1,1,1,0
144,5,4,5,1,2,5,0,0,17,2,1,1,1,3
145,4,4,2,1,2,5,0,11,15,1,1,1,2,0
146,3,3,2,1,1,3,0,0,15,3,2,1,2,3
147,4,3,2,1,1,5,2,11,15,1,2,1,2,0
148,3,3,2,2,1,5,0,0,16,4,4,1,1,0
149,4,5,5,2,5,5,0,10,15,2,1,4,1,3
150,2,3,5,2,5,4,0,0,18,1,1,1,1,3
151,4,4,4,3,5,5,6,14,16,2,1,1,1,1
152,4,2,1,2,3,3,8,10,15,3,3,2,3,2
153,4,5,4,1,1,4,0,0,19,3,2,1,1,3
154,4,2,1,1,1,4,0,12,17,4,4,1,1,0
155,4,4,4,1,1,1,2,8,15,2,3,1,2,0
156,2,2,2,3,3,5,8,13,17,1,2,1,1,0
157,5,2,5,1,5,4,6,10,18,1,1,3,1,3
