"id","Number.of.Open.Complaints","Number.of.Policies","Response","Coverage","Education","EmploymentStatus","Gender","Location.Code","Marital.Status","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Vehicle.Class","Vehicle.Size"
265,0,6,1,2,1,2,2,2,2,2,4,1,1,1,3
266,0,4,1,1,2,3,2,1,2,1,1,1,4,1,2
267,0,2,1,2,5,2,1,1,3,1,3,2,3,1,2
268,0,8,1,1,1,2,1,2,2,2,5,1,1,6,3
269,0,3,1,2,2,2,2,1,2,1,1,4,1,1,2
270,0,1,1,1,4,5,1,2,3,1,3,2,3,4,2
271,0,2,1,1,5,3,1,1,2,2,6,1,3,6,2
272,0,7,1,1,4,5,2,2,3,2,4,1,2,5,2
273,0,1,1,3,4,2,2,2,2,2,6,4,3,1,2
274,0,1,1,2,4,5,1,2,2,2,6,1,1,4,3
275,4,1,1,2,1,2,1,2,2,2,5,2,1,5,2
276,0,3,1,1,5,1,2,1,2,3,9,1,4,6,2
277,0,5,1,3,2,2,2,2,1,1,2,1,2,1,2
278,0,4,1,3,4,2,1,1,2,2,6,3,1,1,2
279,2,2,1,2,2,5,2,2,3,2,6,3,2,6,2
280,0,1,1,2,4,2,1,2,2,2,6,2,2,6,2
281,0,5,1,2,2,5,2,3,3,2,5,1,4,1,2
282,4,3,1,1,1,5,2,2,2,2,5,4,4,6,2
283,1,6,1,1,4,2,2,2,2,2,6,1,1,1,3
284,1,1,1,1,1,2,2,2,2,2,4,1,1,6,2
285,0,3,1,3,1,2,2,1,3,2,5,1,2,6,2
286,0,3,1,2,4,2,1,2,2,2,6,2,3,1,2
287,0,3,1,1,1,2,1,2,2,1,3,1,3,1,2
288,0,7,1,1,1,5,2,2,3,2,5,1,1,1,2
289,1,5,1,1,4,5,2,2,2,2,4,1,1,4,2
290,0,5,1,1,2,2,2,3,2,2,5,2,3,1,1
291,1,8,1,3,1,2,1,2,2,2,4,3,2,1,2
292,0,3,1,2,4,2,2,3,2,2,5,4,1,1,1
293,0,8,1,2,5,2,2,1,2,2,6,1,2,2,2
294,0,3,1,1,1,5,1,2,3,1,2,3,4,1,3
295,0,6,1,3,4,1,1,1,2,2,5,1,3,6,1
296,0,1,1,1,3,2,2,1,3,3,8,2,2,1,2
297,1,2,1,1,2,2,2,2,2,2,6,1,1,5,2
298,2,1,1,1,1,5,1,1,2,3,8,2,2,1,2
299,0,9,1,1,2,2,2,2,2,2,4,2,2,1,3
300,0,8,1,3,4,5,2,2,1,1,3,3,4,1,2
301,0,1,1,1,2,2,2,2,2,2,6,2,1,1,2
302,0,8,1,1,1,2,2,1,2,1,3,4,4,1,2
303,1,9,2,1,4,4,2,2,2,2,5,1,4,4,2
304,0,2,1,1,2,2,1,1,2,2,4,1,1,5,3
305,0,1,1,2,1,5,1,2,3,2,4,1,3,1,2
306,0,4,2,1,2,5,1,2,1,1,3,1,1,5,2
307,0,2,1,1,1,5,2,2,2,1,1,2,3,5,2
308,0,3,1,2,2,2,2,3,3,2,6,3,4,5,2
309,0,1,2,3,1,2,1,1,1,2,6,2,1,1,2
310,0,6,2,1,1,2,1,2,2,1,2,2,3,1,3
311,1,6,1,1,1,2,2,1,2,2,5,1,1,1,3
312,0,1,2,1,4,2,1,3,2,2,6,1,1,5,2
313,0,6,1,1,4,2,2,1,2,1,2,4,1,1,2
314,0,3,1,1,3,2,1,3,2,2,6,3,3,5,3
315,2,3,1,3,5,2,1,2,1,1,3,1,2,1,2
316,0,2,1,3,1,5,2,2,3,2,6,3,2,5,2
317,4,1,1,2,2,2,1,1,2,1,3,3,3,5,2
318,0,1,1,2,1,2,1,2,2,2,6,2,1,6,3
319,0,1,1,2,1,2,1,2,3,2,5,3,3,5,2
320,1,1,2,1,5,2,1,1,2,2,6,2,4,1,1
321,0,1,1,1,2,2,1,1,2,1,3,4,1,5,3
322,0,7,2,1,3,2,1,3,2,2,4,2,2,1,2
323,1,1,1,1,1,5,2,2,3,1,3,1,2,1,2
324,0,5,1,1,2,5,1,2,3,2,5,2,3,1,2
325,0,2,1,2,1,2,2,2,2,2,5,4,2,1,2
326,0,2,2,1,2,5,2,2,2,2,6,1,2,5,2
327,1,2,1,2,4,5,1,2,3,2,5,2,4,1,3
328,0,1,1,1,1,2,1,1,2,1,1,2,4,1,2
329,0,1,1,1,2,2,1,3,1,2,5,2,1,1,2
330,0,2,1,2,1,2,2,2,3,2,4,1,3,6,2
331,0,1,1,1,4,5,2,2,3,2,6,2,1,1,2
332,0,9,1,1,4,5,1,2,2,1,1,3,4,5,2
333,0,1,1,1,2,2,1,2,1,2,4,1,1,6,2
334,0,2,1,2,4,5,2,2,2,2,4,4,3,1,2
335,1,5,1,1,2,2,1,2,2,2,5,1,3,1,3
336,0,1,1,1,4,5,2,2,2,2,6,1,3,6,2
337,0,2,1,1,2,2,2,2,2,2,5,1,1,1,1
338,1,3,1,1,1,2,2,1,2,1,2,4,3,1,2
339,0,5,1,1,1,5,1,1,2,2,5,1,4,1,2
340,0,1,1,2,2,2,2,1,2,2,4,4,2,6,2
341,1,8,1,1,4,5,1,2,3,2,4,3,2,5,2
342,0,2,1,3,4,2,2,2,2,2,6,4,3,5,3
343,0,5,1,1,4,5,2,2,3,2,6,1,2,1,2
344,0,1,1,1,4,5,1,2,3,2,6,2,4,1,2
345,0,3,2,1,4,2,1,2,3,2,6,2,3,1,2
346,0,2,1,1,1,5,1,2,3,2,4,2,2,1,1
347,0,3,1,1,4,3,2,2,2,2,4,1,1,1,2
348,0,8,1,1,5,1,2,3,1,2,6,4,4,1,2
349,3,2,1,2,1,2,1,1,2,2,6,1,3,1,2
350,0,1,1,2,2,2,1,2,2,1,2,4,1,1,2
351,2,3,1,3,2,1,1,1,2,2,6,1,1,1,2
352,2,2,1,1,2,2,1,3,2,1,3,2,2,1,2
353,0,1,1,1,4,5,1,2,3,1,3,1,3,1,3
354,0,3,1,1,5,2,1,1,2,2,6,2,4,6,2
355,0,1,1,1,4,5,1,2,2,2,6,4,2,1,1
356,0,1,1,1,4,2,2,2,2,2,6,2,2,6,3
357,3,1,1,1,5,2,1,3,1,2,5,2,2,5,2
358,0,1,1,3,4,5,1,2,3,2,6,1,1,5,2
359,0,3,1,1,2,2,1,2,3,2,5,1,1,1,2
360,1,4,1,1,3,2,2,2,2,2,6,4,3,1,3
361,0,2,1,1,2,5,2,2,3,2,4,3,3,1,2
362,0,3,2,2,1,5,1,2,2,2,4,2,1,1,3
363,0,2,1,1,1,5,1,2,3,2,5,2,1,4,1
364,0,1,2,1,1,3,2,2,3,2,5,1,1,1,2
365,0,7,1,1,4,3,2,2,2,3,9,1,2,1,1
366,0,1,1,2,1,2,2,2,1,1,2,1,3,1,3
367,0,9,1,3,2,2,1,3,3,2,6,2,3,5,3
368,0,1,2,1,2,3,1,2,2,1,3,2,3,1,2
369,0,1,1,1,1,2,1,1,2,2,6,2,4,1,2
370,0,1,2,2,5,2,1,1,2,1,2,1,2,1,1
371,0,7,2,1,1,2,2,2,2,2,4,2,3,6,2
372,0,9,1,1,4,5,1,2,3,2,4,1,2,4,2
373,3,3,1,1,1,1,2,2,3,1,3,1,1,1,2
374,0,2,2,1,1,2,1,2,1,2,6,1,4,5,2
375,0,3,1,1,5,2,1,1,2,2,6,2,2,6,2
376,0,2,1,2,2,2,2,1,2,3,9,1,1,5,3
377,0,1,1,1,4,1,1,2,2,2,5,4,4,5,2
378,0,1,1,3,1,2,1,2,2,2,5,4,2,5,2
379,0,3,1,1,4,4,1,2,3,2,6,2,1,6,2
380,0,1,2,2,2,2,1,2,1,1,3,1,2,1,2
381,0,1,1,2,2,2,2,3,2,2,4,2,3,1,2
382,0,1,2,1,1,2,1,3,2,3,9,2,1,1,2
383,0,1,1,1,2,2,1,2,2,2,5,2,4,6,2
384,1,2,1,1,2,2,1,2,2,2,6,4,3,5,3
385,0,1,1,3,3,2,2,2,2,2,5,1,3,6,3
386,0,2,1,1,2,2,1,2,3,2,6,3,1,5,2
387,4,1,1,1,4,2,1,3,2,1,2,1,2,6,2
388,0,3,1,2,1,1,2,3,3,2,5,1,2,1,2
389,0,1,2,1,2,4,2,2,2,2,6,2,1,4,2
390,0,2,1,1,5,2,1,1,3,2,5,2,2,1,2
391,0,3,1,1,5,2,2,3,2,2,4,2,2,1,2
392,0,5,1,1,1,2,2,1,2,1,3,2,1,1,1
393,0,2,1,2,2,5,1,2,3,2,4,1,1,1,3
394,1,1,1,1,1,5,2,2,3,2,5,1,1,6,2
395,0,3,1,3,1,2,1,1,1,1,1,1,3,1,2
396,0,6,1,2,4,2,2,2,1,1,3,3,1,1,2
397,0,1,1,1,1,2,2,1,3,2,5,3,1,6,3
398,0,8,1,1,1,2,1,3,2,1,3,1,1,5,3
399,0,2,2,3,4,2,1,2,3,2,4,1,1,1,2
400,0,1,1,1,4,2,2,2,1,2,6,4,1,1,2
401,0,9,2,1,1,2,2,2,1,2,6,1,1,1,2
402,0,1,1,2,1,3,1,2,1,1,2,1,2,5,2
403,0,2,1,2,2,5,2,2,3,3,7,1,4,1,2
404,5,7,1,1,2,5,1,2,3,2,5,4,3,1,2
405,0,2,1,2,1,2,1,1,2,2,6,1,1,3,3
406,1,2,1,2,4,2,1,1,2,2,6,3,3,5,2
407,0,3,1,1,4,2,2,1,3,1,3,2,4,1,2
408,0,2,1,1,5,5,1,2,2,2,6,1,3,4,1
409,0,2,2,1,4,2,1,2,2,2,4,2,1,4,2
410,0,2,1,1,4,5,2,2,2,2,4,3,1,3,1
411,0,5,1,3,2,2,2,3,2,2,6,3,3,5,2
412,0,6,1,1,2,2,1,3,2,2,6,1,1,1,2
413,0,4,1,1,5,2,1,2,2,1,2,4,2,1,2
414,0,1,1,1,4,5,1,2,1,2,6,3,2,6,2
415,0,6,2,2,2,4,1,2,1,2,5,1,2,1,2
416,1,1,1,1,2,5,1,2,3,3,7,1,1,4,2
417,1,9,1,1,1,2,2,2,2,2,4,1,3,1,2
418,0,4,1,1,1,5,2,2,3,1,2,1,3,1,2
419,0,1,1,1,2,3,2,2,2,2,4,2,4,2,1
420,0,1,1,1,5,2,2,2,2,2,6,4,1,5,2
421,0,3,1,2,2,5,2,2,2,2,5,2,1,4,2
422,1,2,1,1,2,2,1,2,2,2,6,3,1,1,3
423,1,8,1,2,4,5,2,2,3,2,6,1,1,4,3
424,0,3,1,1,2,2,1,1,2,2,5,3,2,6,2
425,0,1,1,3,4,5,1,2,2,2,5,3,1,1,2
426,0,2,1,2,1,2,2,1,2,2,6,1,3,2,3
427,0,3,1,2,5,2,1,3,2,2,6,2,2,5,2
428,0,2,1,1,5,2,2,3,2,2,4,4,1,6,2
429,0,1,2,2,4,4,2,2,1,1,3,2,1,5,2
430,0,7,1,3,4,2,2,2,2,1,1,1,1,5,2
