id,coolant,u_q,i_q
325,-0.6609471,0.21116164,1.0330487
326,-1.2111796,0.71986884,-1.3904147
327,1.9541914,-0.19834085,-0.24573088
328,-0.8623862,-1.2804013,-0.24570772
329,-0.6729129,1.5591073,-0.34712517
330,0.85210466,-1.2507973,-0.24598123
331,0.44294557,0.41926473,0.3233395
332,-1.0488827,1.6841741,-0.25437313
333,-1.0667326,0.88196075,1.0687228
334,0.3395942,-0.16510764,-1.7610528
335,-0.7351086,1.6625935,-0.020586206
336,2.180167,0.81910837,-0.84738797
337,0.33734724,0.7509508,0.7220353
338,-0.35517034,-0.4013597,2.5954266
339,-0.7019587,1.645639,-0.04288829
340,-0.12633072,-0.7992365,1.7232417
341,-0.12948129,-0.4370765,-2.3827353
342,-1.0942092,1.198687,0.37812465
343,-0.80992126,-1.2488426,-0.2457011
344,1.9405193,-0.73606735,-0.24570867
345,-0.697192,0.74537003,0.30503628
346,0.33061603,0.74229795,0.30645317
347,-0.31801194,-0.079815015,0.42579156
348,0.32670996,1.720929,-0.43423605
349,0.5267716,-1.2994609,-0.24570033
350,1.3339173,-1.2504826,-0.24573451
351,-0.6018062,-0.0047206,-1.3069134
352,-0.79199505,-1.3256905,-0.24571875
353,-1.0910779,-0.7004443,0.4869185
354,-1.07737,-0.05123197,0.68902075
355,0.5070207,0.79363626,0.5035471
356,-0.35533518,1.2147588,-0.7508952
357,0.51365465,-0.91282356,-1.7624937
358,0.16694216,0.604093,-1.0287797
359,0.54931015,-0.13411638,-2.2497501
360,-0.35414356,0.33853993,1.2516997
361,-0.6856856,1.3952392,0.064391956
362,-0.056135695,0.5765169,-1.4226263
363,-1.0728481,0.40940237,-0.0914375
364,-0.044820163,-1.2942672,-0.24570225
365,0.35907298,1.0247295,-0.991166
366,2.164649,0.017417233,0.7000133
367,-0.6433728,-1.2520145,-0.24571697
368,1.1771688,-0.4077953,1.1333457
369,0.3185412,-0.3530169,1.6314578
370,1.131667,0.73296356,0.485385
371,-1.0926896,-0.12372936,-1.3642867
372,-0.77871907,-1.2605892,-0.24571376
373,-0.5894518,-0.7558403,1.8979723
374,-1.0770512,1.5933663,0.00042271972
375,-0.2107791,1.7515737,-0.2768644
376,1.6621567,-1.2870868,-0.24573073
377,-1.0690827,-0.562531,1.007329
378,-1.0755907,1.7355663,-0.24592187
379,-1.0625687,0.7084743,0.30602217
380,1.3483973,1.0357513,-0.8390962
381,1.1048088,-0.34615493,-2.2921765
382,-0.35181198,-0.041149646,0.53822863
383,-0.6041495,0.3255979,0.4869165
384,-1.06975,0.41032404,-0.09144916
385,-0.7918592,-0.52716416,-3.0161142
386,0.2953877,1.0170816,0.23315959
387,-1.0891126,0.88206893,0.5540587
388,0.2837464,0.9165421,0.47103024
389,-1.0746559,-0.96940535,1.0219882
390,-1.057738,-0.14779522,-0.61741775
391,2.111441,0.8306273,0.29435918
392,0.19478089,1.651754,-0.059465036
393,1.1242414,1.0058943,0.5973751
394,-1.0380867,-0.35908127,0.33415726
395,1.1942934,-1.2653556,-0.24572656
396,1.2409127,-0.22346994,0.5275586
397,0.73712754,-1.2917241,-0.24573132
398,0.13105662,0.28129002,-0.23622996
399,0.6095884,1.7084405,-0.12031865
400,-1.053831,0.87313896,0.38421127
401,-1.0836442,-0.08539185,1.8901527
402,-0.32953954,-0.676417,-0.8939489
403,2.1745017,-1.324464,-0.24571943
404,1.0444713,-0.653655,0.7708214
405,0.8712592,1.6495532,-0.14317599
406,-1.0820211,1.7275386,-0.24587487
407,-0.04688103,-1.29469,-0.24570422
408,-1.0620775,-0.9158375,-0.09145094
409,-1.058374,-0.14955766,-0.6174086
410,0.32682094,-0.27476764,-0.19103031
411,-1.082773,-1.3005242,-0.24572627
412,1.5357589,-0.9504028,-2.8032942
413,-1.024418,-0.74164736,1.7667494
414,1.1988697,-1.264417,-0.24569666
415,-1.0692824,0.29458234,0.29103753
416,-1.0397282,-0.68568134,0.8508084
417,-1.0778515,-1.0744216,2.914139
418,1.7475554,0.72711897,-0.45321134
419,-1.0750943,1.7374132,-0.21839184
420,-1.0623863,0.29778427,-1.827234
421,-1.0666436,0.632003,0.23598294
422,1.9479378,1.4804986,-0.7889109
423,-0.046798263,-1.2949373,-0.24569678
424,-0.19063711,-1.2426325,-0.24595664
425,2.1751232,0.5562644,0.72660726
426,-1.0798705,-0.704836,0.48692092
427,-0.073135845,0.33876818,-0.013956121
428,-0.18377268,1.5440202,0.07018342
429,2.1820953,-0.6345998,0.72902966
430,-0.12007151,0.16350107,-1.1445023
431,-0.1712958,-1.2134216,-2.5191066
432,1.7474313,1.7656896,-0.26276943
433,-0.13620463,-0.59683335,1.1496147
434,-1.0808458,-0.15011229,-0.6174135
435,2.030021,1.3896606,0.10443728
436,-1.0719286,0.9601085,-0.2457165
437,-0.83956796,-0.77650917,2.530515
438,-1.0745847,1.4771168,-0.018574419
439,-1.0789269,-0.46065107,0.44094804
440,1.9438052,0.9597239,-1.1621668
441,-0.8456697,0.92393965,-0.8090038
442,0.20145857,-0.80898637,-3.2165415
443,1.0967346,-0.7312861,-0.24572855
444,1.1652592,-0.33463773,0.2941867
445,-0.5823477,1.59561,0.08212143
446,-0.07081846,-0.3211175,-2.2274895
447,-1.0840764,-0.4332512,0.48692325
448,-0.4112408,-0.068937495,0.93161637
449,0.17583497,-1.2658525,-0.24571735
450,-1.0917765,0.28585827,-1.8280886
451,-0.6119681,1.3531445,-0.6727747
452,0.3376732,-0.104156755,-1.8642457
453,0.13627814,-1.2986441,-0.24571106
454,0.54061556,0.21832262,-2.0245247
455,-0.12607746,-0.37082267,-1.6793894
456,0.25527886,0.8704485,0.1310166
457,-1.0615785,0.93079096,0.5444167
458,-0.30078536,-1.2665869,-0.24571462
459,0.89016855,-1.3212622,-0.24569564
460,0.15680969,1.393771,-0.8496129
461,0.31829512,0.2312178,1.0458534
462,-1.0448079,-0.6687987,0.2042375
463,0.0041724313,-1.2511832,-0.2457156
464,-1.0835233,-0.7027715,0.4869064
465,-1.0729604,0.63689727,0.23605667
466,-0.5817842,-0.24673171,2.3643079
467,-0.35811242,-0.15427248,-0.24572106
468,-1.0436,-0.92427117,1.6142135
469,0.3371916,1.3304461,-0.69971275
470,2.1015007,0.27552992,0.21397509
471,-0.54908454,0.6869716,1.039743
472,-1.0790383,1.6821091,-0.25511912
473,1.5195346,-1.247551,-0.24572864
474,0.17176197,-0.43600303,-1.4137878
475,1.2567269,0.76519793,0.37733057
476,0.6059643,-0.077697664,1.9523777
477,0.7784961,1.5216386,-0.71281904
478,-0.12762529,-0.2882617,1.9115951
479,-1.0688413,-1.2508485,-0.25725687
480,-0.336799,-1.3000274,-0.24570742
481,-1.0450242,0.7861951,0.44758555
482,-0.7850982,1.2340469,-0.93446696
483,-0.66832346,-0.7559602,-2.2800086
484,0.98659873,-1.1290312,-0.24571101
485,-0.5347481,-0.8275102,1.3352594
486,0.32352638,1.7017124,-0.46667093
487,0.8903153,-1.3236806,-0.24573971
488,-1.0641949,0.13214806,1.7738484
489,-1.0876269,-0.150568,-0.6174215
490,1.0024495,0.7105791,0.3119274
491,-0.044484638,-1.2944591,-0.24572287
492,1.936042,1.4446075,-0.43034112
493,0.11203375,0.35080054,-1.5056609
494,0.35445666,-0.6895682,-1.5776044
495,1.4716909,1.4119973,0.2513266
496,-1.0477223,-0.78871447,0.49701768
497,-0.5815801,-1.2471665,-0.2457079
498,1.2558273,1.5537416,0.07122193
499,-1.0718277,-0.049788114,0.68902194
500,-1.0696616,-0.70941937,-0.24571055
501,1.0100746,1.6090361,-0.06416969
502,-1.0853848,-1.0427333,2.9141448
503,-0.24825488,0.007860903,0.5421154
504,0.97646624,0.76850003,-0.8941085
505,-1.0607717,0.6123065,0.23670888
506,0.89074045,-1.324114,-0.24570158
507,1.0700564,-1.3301636,-0.2457009
508,-1.0486214,-0.7347265,0.3990585
509,1.7090229,-1.3168951,-0.24573578
510,-1.0699341,1.5199116,0.22687654
511,-1.0820699,-1.1672573,0.27636918
512,1.5063044,0.0055547515,-2.394596
513,-1.039143,-0.43806395,0.3377474
514,1.255828,1.5529642,0.071439564
515,1.915776,0.44153967,1.4472064
516,2.1797917,1.7020072,-0.25314274
517,-1.0671649,1.2430365,0.3096024
518,-1.0646594,-0.5860084,-0.09143586
519,-0.3350008,-0.69903547,0.1309996
520,-0.7987604,1.1445012,-0.90745604
521,-0.4102578,-0.72605926,1.3063585
522,-1.1356212,-1.3009207,-0.24571079
523,-0.52815205,0.47912532,0.8448205
524,1.0072908,0.9010815,0.9455848
525,0.34567675,-1.0628737,-0.7082034
526,2.1870549,-0.024062574,-1.1105415
527,-1.0651451,-0.709589,-0.24570893
528,0.13927975,0.3092516,0.28865194
529,2.1865232,0.32290587,0.22641411
530,-1.077438,-0.584599,-0.09143048
531,1.1424302,0.4978755,0.6145949
532,-1.041536,-0.2897517,0.33406815
533,0.6095884,-1.3111511,-0.24572597
534,0.38040385,0.12550956,0.48486066
535,-0.83659583,-0.44741306,-0.3746019
536,-1.0482936,1.0790018,0.7830037
537,-1.0538553,0.53867894,0.23197283
538,1.6612295,0.28508952,-0.33435044
539,0.16239256,0.013134017,0.6062291
540,-1.0708181,0.0051266854,1.5612447
541,-0.6395375,0.18402676,0.57979524
542,0.4186473,-1.3051491,-0.2457039
543,1.9583994,0.6084029,1.2278026
544,-1.0697418,-1.251486,-0.25727487
545,1.7475554,0.5739228,0.26892516
546,-0.5826911,-0.54209477,-1.8552707
547,0.17405148,-1.2645308,-0.24572366
548,-1.0395639,-0.6333709,0.56055707
549,-0.6112927,0.08369661,1.4429548
550,-0.36188495,-1.0851634,0.9525174
551,-0.67204684,0.4340437,-1.6626133
552,-1.0756832,-1.0468776,2.0137987
553,0.6095853,1.7233342,-0.14371753
554,1.0179045,1.6127603,-0.0648593
555,-1.0588162,-0.7089888,2.5954154
556,-1.0669773,-0.9992024,1.3783885
557,1.5802046,0.9551019,-0.9496938
558,-1.0720139,-0.5013495,2.914139
559,-0.64401597,-1.2586105,-0.2457392
560,-0.6144187,-1.322937,-0.24573681
561,-0.84247303,-1.2867197,-0.24570428
562,-1.0807407,-1.1691105,0.486925
563,1.0095335,0.71774465,0.3115987
564,-1.070664,0.7419085,0.30457807
565,-0.11087293,-0.8399502,0.5492418
566,-0.55925167,-0.57714564,2.2910092
567,0.18333624,1.0644214,-0.78236413
568,-1.067747,1.5105877,0.22812031
569,0.5607695,-0.353192,-0.22059876
570,-0.049461603,1.0222249,-1.2050604
571,-1.0596838,0.21284097,0.38625857
572,-1.0741136,-0.56378436,1.0073378
573,-0.55293393,-1.2737347,-0.24570905
574,-1.0469166,1.6775564,-0.2560232
575,-1.077709,-1.1692047,0.48692453
576,-1.0816482,-0.4638714,2.5064692
577,-1.0748737,0.65292054,1.1367723
578,-1.0652379,-0.7125759,-0.24570476
579,0.3284979,-1.2657326,-0.24570271
580,1.2882198,1.5297569,-0.58749056
581,-1.0417454,1.5811092,0.057343017
582,0.10709064,1.6534657,-0.4325128
583,-0.30078536,-1.2656482,-0.24571511
584,0.33696145,-1.3267046,-0.24572016
585,-1.0768048,-1.1691775,0.48691973
586,2.1813838,1.1255397,-0.7624221
587,-0.04127149,-1.2811381,-0.24572672
588,-0.5513759,-1.2741083,-0.24571958
589,0.32821023,0.703565,-1.578153
590,-0.63355094,0.79562455,0.36724725
591,-0.3775136,1.207964,0.3793159
592,-0.5283761,-0.016694656,1.0165097
593,-0.59597325,1.4964755,0.09740542
594,-0.6859935,0.07604998,-2.1214573
595,1.5899622,-1.3214326,-0.2457039
596,1.7059057,-0.10085939,1.0225488
597,-0.68765914,-0.37249628,1.551146
598,-0.18250343,1.5499315,0.070360735
599,-1.0944437,0.67220336,0.3092945
600,-0.43735364,-0.20024279,0.75744355
601,0.5311126,0.3939506,-1.9383326
602,-0.11350789,1.0653694,0.45234677
603,0.03704713,-1.227616,-0.24769652
604,1.3594248,-0.79189324,1.7232664
605,-0.17242843,-1.2608433,-2.840536
606,2.2598088,0.077618,0.74282175
607,1.404062,-0.19104047,-0.27648318
608,-1.0811044,-0.053239677,0.6890196
609,-0.6104061,1.517218,0.006672369
610,0.12678458,1.6590048,-0.51611626
611,-0.36748782,0.053607985,1.4056747
612,0.15609333,1.4818591,0.057885833
613,0.52273965,0.13753328,-1.484774
614,1.0382687,0.33037508,1.7189051
615,-0.35193923,1.3900119,0.33977523
616,0.19981259,-1.3282636,-0.24572118
617,-1.066387,-0.71611524,2.595429
618,-1.0838317,-1.1692027,0.48692077
619,1.714799,0.4345858,0.77983886
620,-0.56556445,0.34412128,0.48691484
621,-0.34690788,0.1352215,0.7748503
622,1.2432019,1.4314145,-0.69408244
623,-1.0538231,-0.5442216,0.5617022
624,-0.30078536,0.4044051,1.1778796
625,-1.0711969,-1.1672719,0.27636898
626,0.60761744,-1.299079,-0.24570332
627,-1.0494286,-0.91642207,-0.09143262
628,-1.0540891,0.72566366,0.29674733
629,1.19895,-1.267281,-0.24573562
630,-0.35491636,0.7169246,0.53405493
631,-0.1755564,1.5402795,0.07082132
632,-1.0207316,-0.6417817,0.82720983
633,-1.0655128,0.8383658,0.41710612
634,-1.0381453,-0.88725173,0.7705553
635,-0.67031765,-0.33695877,0.719058
636,1.574737,-0.584972,-1.790265
637,-1.090622,1.7313217,-0.24588734
638,1.9200519,0.27891675,1.690185
639,0.5714763,-0.05589068,0.6840964
640,-0.624071,1.4713752,0.14147888
641,0.32280883,0.15097955,1.1356645
642,-1.0440574,-0.7631891,0.40476197
643,1.2428238,-1.3274835,-0.24571559
644,-0.06722259,-1.1441655,-3.1843271
645,-0.6300169,1.2942578,0.11773273
646,0.14020202,-1.2971984,-0.24572195
647,0.32580733,-0.24128045,-1.7499906
648,1.9530631,0.286694,0.48692462
649,0.7644609,-0.18480115,1.8595499
650,0.19732334,-1.3300958,-0.24571306
651,-1.0747637,-0.56374776,1.0073282
652,-0.3170748,1.0105035,0.32902053
653,1.6373117,1.2121768,0.15409912
654,0.13980749,-1.2986652,-0.24570182
