"id","Number.of.Policies","Response","Coverage","Education","EmploymentStatus","Gender"
163,4,2,1,2,5,1
164,1,2,1,1,4,1
165,2,1,2,1,5,2
166,2,1,1,5,3,2
167,2,1,1,1,5,1
168,7,2,1,4,5,1
169,2,1,2,4,2,1
170,2,1,1,4,5,1
171,1,1,1,2,3,2
172,2,1,3,3,1,1
173,2,1,1,2,2,1
174,1,1,1,2,5,1
175,8,2,1,4,2,2
176,1,1,1,1,2,1
177,1,1,1,2,2,1
178,8,1,1,1,2,1
179,7,1,1,2,5,1
180,1,1,1,1,2,1
181,2,1,3,1,5,1
182,4,1,2,1,2,1
183,3,1,1,4,2,2
184,2,1,2,1,2,2
185,1,1,1,1,5,2
186,2,1,1,4,2,1
187,1,1,1,2,2,1
188,1,2,2,1,2,1
189,1,1,2,1,2,1
190,7,1,2,2,2,2
191,1,1,1,5,2,2
192,1,1,1,4,5,1
193,1,1,1,1,2,2
194,2,1,1,1,2,1
195,2,1,1,4,5,1
196,1,1,2,1,2,1
197,1,1,3,4,2,2
198,1,1,1,1,2,2
199,2,1,2,4,5,1
200,4,2,2,2,2,2
201,3,1,3,5,1,1
202,1,2,2,1,4,1
203,1,1,1,4,2,1
204,7,1,1,2,5,2
205,7,1,1,4,5,2
206,2,1,1,2,5,2
207,1,1,1,2,2,1
208,3,1,3,2,2,2
209,3,1,1,4,2,1
210,3,1,2,1,2,1
211,1,1,2,4,2,2
212,5,2,1,2,4,2
213,2,1,2,2,2,2
214,3,1,1,4,2,1
215,1,1,1,2,2,2
216,3,1,2,2,2,1
217,1,1,3,2,2,2
218,6,2,2,4,1,1
219,3,2,1,4,5,1
220,1,1,1,2,2,2
221,3,1,1,1,2,1
222,8,1,1,1,2,2
223,9,1,1,4,2,2
224,7,2,2,4,2,2
225,2,1,1,2,1,1
226,5,1,2,2,2,1
227,9,1,1,2,5,2
228,1,2,1,4,2,1
229,9,1,1,4,2,2
230,9,1,1,1,1,2
231,5,2,1,1,5,1
232,2,2,1,2,2,2
233,2,1,2,4,2,2
234,1,1,3,1,5,1
235,8,1,1,4,5,2
236,8,1,1,1,2,2
237,2,1,1,1,2,1
238,3,1,2,2,2,2
239,1,1,1,2,5,2
240,1,1,1,1,2,1
241,3,1,1,4,2,1
242,2,1,1,2,2,1
243,4,1,1,2,5,1
244,5,1,2,2,2,2
245,1,1,2,2,5,1
246,1,1,2,1,1,2
247,3,1,1,1,2,1
248,2,1,2,4,5,1
249,1,1,2,1,5,2
250,2,1,1,5,2,2
251,1,1,3,4,4,1
252,2,1,1,1,2,1
253,8,1,1,3,2,2
254,3,2,1,2,4,1
255,3,1,2,1,2,2
256,1,2,2,4,4,2
257,4,1,2,1,2,1
258,4,1,1,5,2,1
259,2,1,2,1,2,2
260,1,1,1,1,2,1
261,2,1,1,1,5,2
262,5,1,1,2,2,1
263,2,1,1,2,3,1
264,4,1,1,4,2,2
265,6,1,2,1,2,2
266,4,1,1,2,3,2
267,2,1,2,5,2,1
268,8,1,1,1,2,1
269,3,1,2,2,2,2
270,1,1,1,4,5,1
271,2,1,1,5,3,1
272,7,1,1,4,5,2
273,1,1,3,4,2,2
274,1,1,2,4,5,1
275,1,1,2,1,2,1
276,3,1,1,5,1,2
277,5,1,3,2,2,2
278,4,1,3,4,2,1
279,2,1,2,2,5,2
280,1,1,2,4,2,1
281,5,1,2,2,5,2
282,3,1,1,1,5,2
283,6,1,1,4,2,2
284,1,1,1,1,2,2
285,3,1,3,1,2,2
286,3,1,2,4,2,1
287,3,1,1,1,2,1
288,7,1,1,1,5,2
289,5,1,1,4,5,2
290,5,1,1,2,2,2
291,8,1,3,1,2,1
292,3,1,2,4,2,2
293,8,1,2,5,2,2
294,3,1,1,1,5,1
295,6,1,3,4,1,1
296,1,1,1,3,2,2
297,2,1,1,2,2,2
298,1,1,1,1,5,1
299,9,1,1,2,2,2
300,8,1,3,4,5,2
301,1,1,1,2,2,2
302,8,1,1,1,2,2
303,9,2,1,4,4,2
304,2,1,1,2,2,1
305,1,1,2,1,5,1
306,4,2,1,2,5,1
307,2,1,1,1,5,2
308,3,1,2,2,2,2
309,1,2,3,1,2,1
310,6,2,1,1,2,1
311,6,1,1,1,2,2
312,1,2,1,4,2,1
313,6,1,1,4,2,2
314,3,1,1,3,2,1
315,3,1,3,5,2,1
316,2,1,3,1,5,2
317,1,1,2,2,2,1
318,1,1,2,1,2,1
319,1,1,2,1,2,1
320,1,2,1,5,2,1
321,1,1,1,2,2,1
322,7,2,1,3,2,1
323,1,1,1,1,5,2
324,5,1,1,2,5,1
325,2,1,2,1,2,2
326,2,2,1,2,5,2
327,2,1,2,4,5,1
328,1,1,1,1,2,1
329,1,1,1,2,2,1
330,2,1,2,1,2,2
331,1,1,1,4,5,2
332,9,1,1,4,5,1
333,1,1,1,2,2,1
334,2,1,2,4,5,2
335,5,1,1,2,2,1
336,1,1,1,4,5,2
337,2,1,1,2,2,2
338,3,1,1,1,2,2
339,5,1,1,1,5,1
340,1,1,2,2,2,2
341,8,1,1,4,5,1
342,2,1,3,4,2,2
343,5,1,1,4,5,2
344,1,1,1,4,5,1
345,3,2,1,4,2,1
346,2,1,1,1,5,1
347,3,1,1,4,3,2
348,8,1,1,5,1,2
349,2,1,2,1,2,1
350,1,1,2,2,2,1
351,3,1,3,2,1,1
352,2,1,1,2,2,1
353,1,1,1,4,5,1
354,3,1,1,5,2,1
355,1,1,1,4,5,1
356,1,1,1,4,2,2
357,1,1,1,5,2,1
358,1,1,3,4,5,1
359,3,1,1,2,2,1
360,4,1,1,3,2,2
361,2,1,1,2,5,2
362,3,2,2,1,5,1
363,2,1,1,1,5,1
364,1,2,1,1,3,2
365,7,1,1,4,3,2
366,1,1,2,1,2,2
367,9,1,3,2,2,1
368,1,2,1,2,3,1
369,1,1,1,1,2,1
370,1,2,2,5,2,1
371,7,2,1,1,2,2
372,9,1,1,4,5,1
373,3,1,1,1,1,2
374,2,2,1,1,2,1
375,3,1,1,5,2,1
376,2,1,2,2,2,2
377,1,1,1,4,1,1
378,1,1,3,1,2,1
379,3,1,1,4,4,1
380,1,2,2,2,2,1
381,1,1,2,2,2,2
382,1,2,1,1,2,1
383,1,1,1,2,2,1
384,2,1,1,2,2,1
385,1,1,3,3,2,2
386,2,1,1,2,2,1
387,1,1,1,4,2,1
388,3,1,2,1,1,2
389,1,2,1,2,4,2
390,2,1,1,5,2,1
391,3,1,1,5,2,2
392,5,1,1,1,2,2
393,2,1,2,2,5,1
394,1,1,1,1,5,2
395,3,1,3,1,2,1
396,6,1,2,4,2,2
397,1,1,1,1,2,2
398,8,1,1,1,2,1
399,2,2,3,4,2,1
400,1,1,1,4,2,2
401,9,2,1,1,2,2
402,1,1,2,1,3,1
403,2,1,2,2,5,2
404,7,1,1,2,5,1
405,2,1,2,1,2,1
406,2,1,2,4,2,1
407,3,1,1,4,2,2
408,2,1,1,5,5,1
409,2,2,1,4,2,1
410,2,1,1,4,5,2
411,5,1,3,2,2,2
412,6,1,1,2,2,1
413,4,1,1,5,2,1
414,1,1,1,4,5,1
415,6,2,2,2,4,1
416,1,1,1,2,5,1
417,9,1,1,1,2,2
418,4,1,1,1,5,2
419,1,1,1,2,3,2
420,1,1,1,5,2,2
421,3,1,2,2,5,2
422,2,1,1,2,2,1
423,8,1,2,4,5,2
424,3,1,1,2,2,1
425,1,1,3,4,5,1
426,2,1,2,1,2,2
427,3,1,2,5,2,1
428,2,1,1,5,2,2
429,1,2,2,4,4,2
430,7,1,3,4,2,2
431,3,1,1,2,5,2
432,1,1,1,2,2,1
433,1,2,3,2,2,2
434,6,1,2,5,2,1
435,1,2,2,1,2,1
436,1,1,1,3,5,2
437,1,1,1,2,2,1
438,2,1,2,1,2,1
439,3,1,1,4,2,2
440,3,1,2,2,5,1
441,1,1,3,2,3,2
442,7,1,1,4,5,2
443,6,1,2,2,5,2
444,2,1,1,4,5,1
445,9,1,2,2,2,1
446,6,1,1,1,1,1
447,4,1,2,4,5,2
448,3,1,1,4,2,2
449,1,1,2,1,5,2
450,1,1,1,1,2,2
451,1,1,1,1,3,1
452,6,1,1,1,3,2
453,4,1,1,4,5,1
454,1,1,2,5,2,2
455,6,1,1,2,2,2
456,1,1,1,1,3,2
457,1,1,2,3,5,2
458,4,1,2,1,2,1
459,2,1,1,4,2,2
460,2,1,2,1,3,1
461,3,1,1,4,2,1
462,9,1,1,2,1,1
463,1,1,1,2,5,2
464,4,1,1,3,2,2
465,1,1,1,2,3,2
466,2,1,2,1,2,2
467,1,1,1,1,2,2
468,1,1,2,1,5,1
469,5,1,1,1,2,1
470,9,1,2,2,2,2
471,1,1,1,4,2,2
472,1,1,1,2,2,1
473,3,1,3,1,5,2
474,1,1,3,4,5,2
475,8,1,2,2,5,1
476,2,1,1,1,2,1
477,2,1,1,2,5,2
478,8,1,2,2,2,2
479,2,1,2,4,2,1
480,1,1,1,1,5,1
481,2,2,1,1,2,2
482,1,2,1,4,2,1
483,9,2,1,2,2,1
484,4,2,1,2,3,1
485,9,1,2,5,2,1
486,3,1,2,2,5,1
487,1,1,2,1,2,1
488,4,1,2,2,5,2
489,3,1,1,4,2,2
490,1,1,1,5,2,1
491,5,1,1,4,2,1
492,2,1,1,2,2,1
493,1,1,3,4,2,2
494,2,1,2,4,5,2
495,9,1,1,5,2,1
496,1,1,1,2,2,1
497,1,2,3,4,2,2
498,1,1,1,4,5,1
499,1,1,2,3,2,2
500,2,1,1,4,2,2
501,1,1,2,1,2,1
502,2,1,1,4,5,2
503,1,1,1,2,5,2
504,2,2,1,2,2,2
505,4,1,3,2,2,1
506,1,1,1,4,3,2
507,4,1,1,2,2,1
508,2,1,1,3,3,1
509,5,1,2,1,2,1
510,1,1,1,4,2,2
511,1,1,3,2,2,1
512,5,1,2,1,3,2
513,2,1,2,2,2,2
514,8,1,1,4,5,1
515,7,1,3,4,5,1
516,3,1,1,4,5,1
517,1,1,2,1,1,1
518,1,1,3,1,2,2
519,2,1,1,4,5,1
520,1,1,1,2,2,1
521,2,1,2,1,2,1
522,8,2,1,4,2,2
523,2,1,2,2,5,2
524,5,1,2,1,5,1
525,6,1,1,2,5,2
526,9,1,1,4,2,1
527,2,1,1,1,2,2
528,1,2,1,2,2,2
529,1,1,1,4,4,2
530,1,2,1,5,2,1
531,7,1,1,2,2,2
532,5,2,2,1,5,1
533,4,1,2,5,2,2
534,2,1,2,1,5,1
535,6,1,2,1,2,1
536,1,1,3,4,3,1
537,6,1,1,4,2,1
538,5,1,2,4,5,1
539,2,2,1,2,5,2
540,9,1,1,3,3,2
541,6,1,1,5,2,1
542,2,1,1,4,1,2
543,1,1,1,4,2,1
544,2,1,2,2,5,2
545,1,1,3,4,2,2
546,1,1,1,4,5,1
547,3,2,1,2,2,2
548,5,1,2,2,2,2
549,4,1,1,1,2,2
550,4,1,1,1,2,1
551,4,1,1,2,2,1
552,3,2,2,2,2,1
553,1,2,1,5,2,1
554,1,1,1,2,2,1
555,1,1,2,4,5,2
556,9,1,1,4,3,2
557,8,1,1,4,2,2
558,1,1,2,4,3,2
559,3,1,1,5,2,1
560,9,1,3,2,5,1
561,2,1,1,1,2,2
562,2,1,1,2,5,1
563,1,1,3,1,2,1
564,1,1,2,2,2,2
565,1,1,2,5,2,2
566,1,1,1,2,5,1
567,1,2,3,2,2,2
568,3,1,3,4,5,1
569,3,2,1,1,2,1
570,1,1,1,1,2,2
571,2,2,1,2,4,2
572,3,1,1,2,2,1
573,6,1,2,1,5,1
574,1,1,1,1,2,2
575,4,1,1,1,5,1
576,2,1,1,4,2,1
577,3,1,1,4,2,1
578,1,1,1,1,2,2
579,7,1,2,1,2,1
580,4,1,1,4,2,1
581,3,1,1,5,2,1
582,1,1,1,4,5,1
583,2,1,1,1,2,1
584,5,1,2,4,2,1
585,3,2,1,4,5,2
586,9,2,1,1,2,2
587,3,1,1,1,4,2
588,1,1,1,1,2,2
589,3,2,1,1,4,2
590,1,1,2,4,2,2
591,1,1,1,3,5,1
592,1,2,2,4,5,1
593,1,1,1,5,2,1
594,1,1,1,4,5,1
595,6,1,3,4,5,1
596,1,2,1,3,2,2
597,1,1,1,2,2,1
598,1,2,1,2,2,1
599,4,1,3,2,5,2
600,3,1,1,5,2,1
601,2,1,1,1,2,2
602,1,1,1,2,2,1
603,2,1,1,1,2,2
604,2,1,1,4,5,1
605,7,1,1,3,2,1
606,5,2,1,2,4,2
607,6,1,3,4,5,2
608,2,1,2,2,2,2
609,2,2,1,4,3,2
610,1,1,3,1,2,1
611,3,1,1,5,2,2
612,3,1,1,5,2,1
613,3,1,2,1,2,2
614,2,1,1,4,5,1
615,1,2,1,4,2,2
616,1,1,3,5,2,2
617,2,2,1,2,2,2
618,7,1,3,5,2,1
619,7,1,1,2,2,1
620,8,1,1,4,5,1
621,1,2,1,2,2,1
622,9,1,1,4,2,2
623,3,1,1,2,2,1
624,1,1,1,1,2,1
625,2,1,2,4,2,1
626,1,1,2,1,5,1
627,2,1,2,2,2,1
628,5,1,2,4,2,2
629,2,1,2,4,5,2
630,5,1,1,2,3,1
631,2,1,1,1,5,2
632,2,2,1,2,2,2
633,6,2,2,4,2,2
634,1,2,3,1,4,1
635,1,1,1,2,2,1
636,1,1,1,2,2,2
637,2,1,1,4,2,1
638,1,1,1,4,2,1
639,1,1,1,2,3,2
640,3,1,2,2,2,1
641,1,1,1,1,2,1
642,1,1,1,5,2,2
643,2,2,3,4,2,2
644,1,1,1,3,2,1
645,2,1,1,4,2,2
646,1,1,1,1,5,2
647,6,1,1,1,2,2
648,2,1,2,2,2,1
649,2,1,3,1,2,2
650,6,1,2,2,5,2
651,9,1,1,1,2,2
652,2,1,1,1,2,1
653,5,2,2,1,5,1
654,5,1,2,1,2,1
655,8,1,2,2,5,1
656,3,1,1,4,5,2
657,2,1,3,5,3,1
658,3,1,2,2,2,1
659,1,1,2,1,2,1
660,2,1,1,1,5,2
661,3,2,1,5,2,2
662,1,1,1,2,2,1
663,1,2,2,4,4,1
664,7,1,1,4,5,1
665,1,1,1,4,2,1
666,1,1,1,2,2,1
667,4,1,1,2,5,1
668,6,1,1,1,2,2
669,8,1,2,4,5,1
670,1,1,1,4,2,1
671,2,1,1,1,2,1
672,9,1,1,2,2,1
673,1,1,2,4,2,1
674,3,1,3,4,2,2
675,1,1,1,2,5,2
676,9,1,1,2,5,1
677,1,1,1,1,2,1
678,3,1,2,4,2,2
679,2,1,1,1,2,2
680,3,1,2,1,2,2
681,1,1,1,2,2,2
682,2,1,2,5,2,2
683,3,1,2,5,2,1
684,2,2,1,4,3,1
685,3,1,1,1,2,2
686,7,1,3,4,2,1
687,1,1,3,1,2,1
688,9,1,2,2,2,1
689,2,1,1,1,2,2
690,7,1,2,1,2,1
691,2,1,1,5,2,1
692,2,1,1,2,2,2
693,1,2,1,1,2,1
694,1,1,1,4,5,2
695,1,2,3,1,2,1
696,2,2,3,4,2,2
697,7,1,1,1,5,2
698,6,1,2,2,5,2
699,2,2,2,1,2,1
700,1,1,1,5,2,2
701,2,1,2,2,2,1
702,2,1,1,4,2,1
703,1,2,1,2,5,1
704,1,1,1,2,2,2
705,2,1,1,1,2,1
706,8,1,1,4,2,1
707,2,1,1,4,2,2
708,1,1,2,4,2,1
709,1,1,1,4,2,2
710,1,1,3,1,2,2
711,4,1,1,2,3,1
712,2,2,1,1,5,2
713,1,1,1,1,2,2
714,1,1,3,1,5,2
715,1,1,2,1,5,2
716,2,1,1,1,2,1
717,1,1,1,2,2,1
718,1,1,1,2,5,2
719,9,1,2,4,2,1
720,1,1,2,4,2,1
721,1,1,2,2,2,2
722,1,1,1,1,1,2
723,6,1,3,2,2,2
724,2,2,1,1,3,2
725,2,1,1,2,2,2
726,1,1,1,1,3,2
727,3,2,1,4,1,1
728,6,1,1,2,2,1
729,2,1,1,4,2,2
730,3,1,2,2,2,2
731,6,1,2,5,2,2
732,2,1,2,1,2,2
733,7,1,1,1,2,2
734,3,1,2,1,5,2
735,2,1,1,1,2,2
736,8,1,2,4,2,1
737,9,2,1,1,2,2
738,3,1,1,1,2,2
739,2,1,2,1,2,1
740,9,1,1,2,5,2
741,2,1,1,2,2,2
742,1,1,2,2,5,1
743,3,1,1,5,5,2
744,3,1,1,4,2,1
745,1,1,1,1,2,2
746,2,1,2,4,2,1
747,2,1,1,1,2,1
748,4,1,1,4,5,1
749,1,2,1,5,2,1
750,2,1,1,2,2,1
751,2,1,2,2,3,2
752,2,1,3,4,5,1
753,2,1,1,2,2,1
754,1,2,1,2,3,1
755,5,1,2,1,2,1
756,1,2,3,1,4,1
757,3,1,1,2,2,1
758,3,1,2,4,3,2
759,3,1,1,1,2,1
760,2,1,2,2,5,2
761,1,1,1,4,2,2
762,7,1,1,4,5,1
763,3,1,2,4,2,1
764,1,1,1,2,5,2
765,2,1,2,4,4,2
766,6,1,1,4,2,1
767,2,1,2,1,2,1
768,2,2,3,2,2,2
769,1,1,1,2,5,1
770,2,1,1,1,5,2
771,2,1,2,2,4,1
772,1,2,3,1,2,1
773,3,1,1,1,2,1
774,1,1,1,2,2,1
775,2,1,3,1,2,2
776,1,1,1,1,2,2
777,1,2,1,4,2,1
778,1,1,2,1,2,2
779,2,1,2,2,2,2
780,2,1,2,4,2,1
781,1,1,3,1,2,2
782,1,1,1,4,5,1
783,3,2,1,2,5,1
784,1,2,3,2,5,2
785,1,1,2,2,5,2
786,2,1,1,4,2,1
787,2,1,1,2,5,1
788,2,2,2,5,4,1
789,1,1,1,2,5,1
790,2,2,1,2,2,2
791,1,1,1,2,2,2
792,1,1,1,2,2,2
793,1,2,3,2,2,2
794,2,1,1,2,2,1
795,2,1,1,5,2,1
796,1,1,1,4,2,1
797,1,1,1,1,5,1
798,2,1,1,1,2,1
799,1,2,1,2,5,2
800,3,1,1,2,1,2
801,2,2,1,2,5,1
802,1,1,1,1,3,1
803,3,2,1,4,2,1
804,2,1,1,2,2,1
805,1,1,1,4,2,1
806,1,2,1,4,4,2
807,2,1,1,4,5,1
808,1,1,2,1,2,2
809,2,2,3,1,1,1
810,1,2,1,1,2,1
811,2,1,1,1,5,2
812,9,1,1,1,2,2
813,1,1,2,3,2,2
814,9,1,1,4,2,2
815,1,1,2,4,2,2
816,2,1,1,5,2,2
817,3,1,1,2,5,1
818,1,1,1,1,2,2
819,5,1,3,2,5,2
820,3,1,3,1,2,1
821,2,1,2,4,2,1
822,3,1,2,4,2,1
823,7,1,2,1,5,2
824,4,2,2,3,5,1
825,2,1,1,4,2,1
826,1,1,1,1,2,2
827,1,2,1,5,2,1
828,9,1,3,3,2,1
829,6,1,1,4,5,2
830,5,1,1,2,5,1
831,4,1,1,5,2,1
832,4,1,1,2,2,1
833,2,1,3,2,2,2
834,1,1,1,2,2,2
835,2,1,3,2,5,2
836,3,2,1,5,2,2
837,2,1,1,5,2,2
838,1,1,1,4,2,1
839,1,1,2,1,2,2
840,2,1,2,2,2,1
841,1,2,2,2,2,2
842,7,1,1,1,3,1
843,1,1,1,4,5,1
844,2,1,1,1,2,2
845,1,2,1,4,4,2
846,9,1,1,4,5,1
847,1,1,1,5,2,1
848,1,1,1,2,2,1
849,1,1,1,2,2,2
850,2,1,1,1,2,1
851,4,1,2,1,2,2
852,5,1,2,2,5,2
853,1,1,2,2,2,2
854,1,1,1,2,5,2
855,1,2,2,3,2,2
856,1,1,1,1,2,2
857,2,1,2,4,5,2
858,3,1,2,5,2,1
859,3,1,1,2,5,1
860,8,2,1,5,2,2
861,2,2,2,1,5,1
862,6,1,1,2,2,1
863,2,1,2,2,2,1
864,1,2,1,2,2,1
865,9,1,1,4,2,2
866,2,2,1,2,2,2
867,1,1,2,1,2,2
868,1,1,2,4,2,1
869,2,1,2,4,2,1
870,1,2,1,1,5,2
871,1,2,1,5,2,2
872,1,1,1,4,2,2
873,1,1,1,1,2,2
874,1,1,1,3,2,1
875,2,1,1,4,2,2
876,2,1,2,2,5,2
877,1,1,1,2,1,2
878,1,1,1,5,2,2
879,8,1,1,1,5,2
880,6,1,1,2,2,1
881,1,1,2,1,2,2
882,4,1,1,4,2,1
883,2,1,2,4,2,1
884,5,1,1,4,2,2
885,1,1,1,3,2,1
886,1,1,2,2,2,1
887,1,1,1,4,2,2
888,2,1,2,4,2,2
889,1,1,2,1,3,2
890,7,1,1,2,2,1
891,2,1,1,1,2,1
892,1,1,1,1,5,1
893,2,1,1,4,5,1
894,2,2,1,1,2,2
895,1,2,1,1,4,2
896,3,2,1,4,2,2
897,1,1,1,4,2,2
898,1,1,1,2,2,1
899,2,1,3,5,2,1
900,3,1,1,1,2,1
901,1,1,1,4,3,1
902,5,1,1,1,2,1
903,4,1,2,3,2,2
904,6,1,1,1,2,1
905,1,1,2,4,3,2
906,2,1,2,2,3,2
907,2,1,1,2,2,1
908,2,1,2,2,2,1
909,1,2,2,4,2,1
910,2,1,1,1,2,1
911,2,2,1,1,4,2
912,4,1,2,4,5,1
913,9,1,1,1,2,1
914,1,1,1,2,2,1
915,2,1,2,4,2,2
916,1,1,2,5,3,1
917,7,1,1,2,2,1
918,2,2,3,4,2,1
919,2,1,2,5,2,2
920,3,1,1,4,2,1
921,8,1,1,1,2,2
922,2,1,1,2,2,2
923,1,1,2,4,2,2
924,1,1,1,1,2,1
925,5,1,1,2,2,2
926,3,1,1,2,2,1
927,1,1,3,2,2,1
928,6,1,1,2,3,2
929,7,1,1,4,5,2
930,2,1,1,4,2,1
931,2,1,1,1,5,1
932,1,2,1,5,2,1
933,3,1,1,1,2,2
934,6,1,1,1,2,1
935,1,1,1,1,2,2
936,8,1,1,4,2,1
937,2,1,2,1,2,2
938,1,1,1,5,5,2
939,6,1,1,1,5,2
940,3,1,1,4,1,1
941,2,1,1,2,2,2
942,1,1,1,1,1,1
943,1,1,1,4,2,2
944,1,1,1,4,2,1
945,7,1,1,2,5,1
946,2,1,2,1,5,2
947,1,1,3,4,2,1
948,1,1,1,1,2,2
949,2,1,2,5,2,1
950,1,1,2,4,5,1
951,1,1,2,1,5,1
952,1,1,2,3,2,1
953,1,1,1,2,2,1
954,4,1,2,2,5,1
955,1,1,1,4,2,2
956,6,1,2,2,2,1
957,7,1,1,3,5,1
958,8,2,1,5,2,2
959,3,1,1,1,3,2
960,4,1,1,2,2,2
961,2,1,2,4,2,2
962,4,2,1,4,2,2
963,2,2,2,1,2,1
964,1,1,1,4,5,1
965,3,1,1,4,2,2
966,2,1,1,5,2,1
967,3,2,1,1,4,2
968,1,1,1,2,5,1
969,1,1,2,1,2,2
970,5,1,1,1,2,1
971,3,1,3,2,2,1
972,8,1,1,2,5,2
973,2,1,1,1,2,2
974,1,1,1,2,2,1
975,3,1,1,4,5,1
976,3,1,1,1,3,1
977,9,1,1,4,2,1
978,1,2,3,4,5,2
979,9,1,3,1,2,2
980,3,1,2,4,3,1
981,1,1,2,3,5,2
982,8,1,2,4,5,1
983,2,1,1,1,2,2
984,1,1,1,2,2,1
985,2,2,1,1,2,2
986,7,2,1,4,5,2
987,7,1,1,1,5,2
988,8,1,2,2,3,1
989,1,1,1,4,2,1
990,1,1,1,2,2,1
991,1,1,1,5,3,1
992,2,1,3,4,5,1
993,2,1,1,1,2,2
994,2,1,1,3,2,2
