id,x6,x7,x8,x9,x10,x11,x12,y,x0,x1,x2,x3,x4,x5
207,1,3,2,1,1,1,10,13,16,4,3,1,2,0
208,4,3,2,1,4,5,6,10,16,1,1,2,1,0
209,4,4,2,1,1,4,6,7,17,4,3,2,3,0
210,4,3,3,1,2,3,10,8,19,3,3,1,4,0
211,5,3,5,4,5,3,13,13,17,4,4,1,2,0
212,3,3,4,1,1,4,0,14,16,2,2,1,2,0
213,4,4,4,2,4,5,15,8,18,2,2,1,2,1
214,5,2,1,1,2,3,12,10,17,4,4,1,1,0
215,4,4,4,1,3,1,2,15,17,3,2,2,2,0
216,3,4,5,2,4,1,22,4,17,4,3,1,2,2
217,3,2,4,2,4,4,13,8,18,3,3,1,2,1
218,3,3,3,1,4,3,3,8,17,2,3,2,1,0
219,4,3,3,1,1,4,4,10,17,2,2,1,3,0
220,4,2,5,1,2,5,2,6,17,2,1,2,2,0
221,4,3,4,1,1,5,0,0,17,1,1,1,3,1
222,2,3,1,1,1,3,2,17,16,2,3,1,2,0
223,3,3,3,5,5,4,0,13,18,2,2,2,2,0
224,5,3,2,1,1,5,0,14,16,4,4,1,3,0
225,5,3,3,1,1,4,16,7,18,3,1,1,2,1
226,5,3,4,1,3,3,10,15,17,3,2,1,2,0
227,5,3,3,1,3,3,2,12,17,2,3,1,2,0
228,4,3,2,4,5,3,14,9,18,2,1,4,2,0
229,3,2,3,1,2,3,10,12,17,2,1,2,3,0
230,3,2,3,1,2,3,14,14,17,4,3,1,2,0
231,4,5,2,1,1,1,4,11,17,2,2,2,2,0
232,4,5,5,1,3,2,14,9,17,4,4,1,2,0
233,4,2,4,2,4,1,2,13,16,4,4,1,2,0
234,3,4,2,1,1,5,18,6,16,1,1,2,2,0
235,5,3,3,1,3,2,10,10,16,3,2,2,3,0
236,4,4,2,5,5,4,4,13,17,2,2,1,2,0
237,4,5,2,1,1,5,20,12,16,2,1,1,1,0
238,2,1,1,1,1,3,2,11,17,2,1,3,2,0
239,5,5,4,3,5,2,0,0,18,2,2,1,2,1
240,2,5,5,1,4,5,14,12,17,4,3,2,2,0
241,3,3,3,2,3,4,2,12,17,4,4,2,2,0
242,5,4,5,1,1,3,0,0,16,4,3,1,1,0
243,5,3,2,1,2,5,0,12,16,4,4,1,1,0
244,4,4,4,1,1,3,0,0,18,2,1,2,3,0
245,4,3,3,1,1,4,6,18,16,2,1,3,1,0
246,5,2,2,1,1,2,4,13,17,2,3,2,1,0
247,5,4,5,5,5,1,16,8,22,3,1,1,1,3
248,4,3,3,1,3,5,8,5,18,3,3,1,2,1
249,4,3,2,2,4,5,0,15,16,0,2,1,1,0
250,4,4,5,2,4,5,0,8,18,3,2,2,1,1
251,5,3,3,1,3,2,6,10,16,3,3,3,2,0
252,3,2,5,2,5,5,4,8,18,2,1,1,1,1
253,3,3,2,1,3,3,0,8,16,2,1,2,1,0
254,4,4,2,2,4,5,0,12,17,2,1,1,1,0
255,4,4,4,1,2,5,2,8,17,1,1,2,1,1
256,4,2,3,1,1,4,6,13,17,4,2,1,4,0
257,4,3,1,1,1,1,12,11,19,4,3,1,2,0
258,5,2,4,1,2,4,8,14,18,2,1,1,2,0
259,3,4,1,1,1,2,0,0,17,2,2,1,4,0
260,3,1,2,1,3,2,21,18,18,4,3,1,2,0
261,4,3,2,1,1,3,2,8,18,4,3,1,2,0
262,5,3,2,1,1,3,1,12,18,3,2,1,3,0
263,3,2,3,1,1,4,4,9,17,3,3,1,3,0
264,4,3,3,1,1,3,0,0,18,2,2,1,3,0
265,4,2,5,3,4,1,13,17,18,3,4,2,2,0
266,5,4,4,3,4,5,2,10,17,3,1,1,2,0
267,4,3,4,2,2,4,8,11,18,4,4,2,2,0
268,5,4,5,1,3,5,10,10,18,4,2,1,2,0
269,4,3,5,1,2,3,0,0,18,2,1,2,2,0
270,4,3,5,3,3,5,15,9,19,3,3,1,2,2
271,4,5,5,1,3,2,4,14,18,2,3,1,4,0
272,4,4,3,1,1,3,2,11,18,1,1,2,2,0
273,3,5,2,2,2,1,2,14,17,1,2,1,2,0
274,4,3,3,1,1,1,2,10,17,2,4,2,2,0
275,4,4,4,2,3,5,6,12,17,2,2,2,2,0
276,4,1,1,1,1,5,75,9,18,3,2,2,2,0
277,3,2,4,1,4,3,22,9,18,4,4,2,1,0
278,2,4,4,1,1,4,15,8,18,4,4,1,2,1
279,4,2,3,1,2,1,8,10,18,4,3,2,1,0
280,4,5,4,2,4,5,30,8,17,4,1,2,1,0
281,4,4,4,3,4,3,19,10,17,3,2,1,1,1
282,5,2,2,1,1,3,1,12,18,1,1,2,4,0
283,5,4,4,1,1,4,4,10,18,1,1,2,2,0
284,5,4,5,1,2,5,4,11,17,2,2,1,2,0
285,4,3,3,1,2,4,2,11,17,1,1,1,2,0
286,4,3,3,1,2,2,5,19,18,2,2,1,3,0
287,4,3,3,1,1,3,6,12,17,1,1,1,3,0
288,4,2,4,1,3,2,6,14,18,2,1,1,3,0
289,5,4,3,1,1,2,9,15,18,4,4,1,2,0
290,4,3,2,1,4,5,11,11,18,4,2,1,2,0
291,4,2,2,1,2,3,0,15,17,4,3,1,3,0
292,5,4,3,1,1,5,12,13,18,2,1,1,2,1
293,3,1,2,1,1,3,6,18,17,3,1,2,4,0
294,5,4,2,1,1,4,8,14,18,3,2,2,3,0
295,4,4,3,1,3,5,4,11,17,3,3,1,1,0
296,2,3,4,2,3,2,0,0,19,4,4,2,2,0
297,4,4,5,1,2,2,10,8,18,4,3,2,2,0
298,4,3,3,1,1,3,0,14,18,4,3,1,4,0
299,1,4,2,2,2,1,5,16,18,4,4,1,1,0
300,4,2,4,1,1,4,14,11,18,4,4,1,2,0
301,4,1,1,2,2,5,0,10,17,4,4,2,1,0
302,4,3,3,1,1,3,0,14,17,4,2,2,3,0
303,5,2,2,1,2,5,0,18,17,3,2,1,4,0
304,4,4,4,1,1,3,20,13,19,3,3,1,2,1
305,4,4,3,1,1,3,8,12,18,2,4,1,2,1
306,5,5,3,1,1,5,0,18,20,3,2,1,1,0
307,4,3,4,1,1,4,38,8,19,4,4,2,1,1
308,4,5,3,1,2,5,0,12,19,3,3,1,2,1
309,4,4,3,1,3,3,18,10,19,1,1,1,2,1
310,4,2,4,2,2,3,0,0,19,1,2,1,2,1
311,3,4,1,1,1,2,20,13,19,2,1,3,2,0
312,4,5,2,2,2,4,3,11,19,1,2,1,2,1
313,4,2,2,1,2,1,22,11,19,3,2,2,2,1
314,4,1,2,1,1,3,14,13,19,1,1,1,3,2
315,4,1,2,1,1,3,40,11,19,2,3,1,3,1
