sid,label,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
34,1,1.0,,1.0,-0.15899,0.72314,0.27686,0.83443,-0.58388,1.0,-0.28207,1.0,-0.49863,0.79962,-0.12527,0.76837
35,0,1.0,,0.66161,-1.0,1.0,1.0,1.0,-0.67321,0.80893,-0.40446,1.0,-1.0,1.0,-0.89375,1.0
36,1,1.0,,1.0,0.00433,1.0,-0.01209,1.0,-0.0296,1.0,-0.07014,0.97839,-0.06256,1.0,-0.06544,0.97261
37,0,-1.0,,1.0,1.0,1.0,-1.0,,,,,-1.0,-1.0,,,
38,1,1.0,,0.91241,0.04347,0.94191,0.0228,0.94705,0.05345,0.93582,0.01321,0.91911,0.06348,0.92766,0.12067,0.92048
39,0,1.0,,1.0,0.02461,0.99672,0.04861,0.97545,0.07143,0.61745,-1.0,0.91036,0.11147,0.88462,0.5364,0.82077
40,1,1.0,,1.0,0.06538,1.0,0.20746,1.0,0.26281,0.93051,0.32213,0.86773,0.39039,0.75474,0.50082,0.79555
41,0,1.0,,-1.0,-1.0,1.0,1.0,1.0,-0.14375,,,-1.0,1.0,1.0,1.0,0.17917
42,1,1.0,,0.90932,0.08791,0.86528,0.16888,1.0,0.16598,0.55187,0.68154,0.70207,0.36719,0.16286,0.42739,0.5762
43,0,1.0,,-0.64286,-1.0,1.0,0.82857,1.0,-1.0,1.0,-0.23393,1.0,0.96161,1.0,-0.37679,1.0
44,1,1.0,,0.99025,-0.05785,0.99793,-0.13009,0.98663,-0.1943,0.99374,-0.25843,0.92738,-0.3013,0.92651,-0.37965,0.89812
45,0,-1.0,,,,,,,,1.0,1.0,1.0,1.0,,,
46,1,1.0,,1.0,-0.0373,1.0,-0.07383,0.99601,-0.11039,0.99838,-0.09931,0.98941,-0.13814,0.96674,-0.21695,0.95288
47,0,1.0,,0.94598,-0.02685,-1.0,0.26131,-0.36393,0.35639,0.69258,-0.63427,1.0,-0.03353,-0.2902,-0.0055,-0.54852
48,1,1.0,,0.98166,0.00874,0.98103,-0.03818,0.97565,-0.05699,0.95947,-0.06971,0.99004,-0.04507,0.94713,-0.11102,0.93369
49,0,1.0,,,,1.0,0.51724,,,0.10991,-1.0,,,,,-1.0
50,1,1.0,,0.84134,-0.18362,0.43644,0.02919,0.93421,-0.00267,0.87947,0.13795,0.81121,-0.01789,0.88559,0.54991,0.91714
51,0,-1.0,,1.0,1.0,1.0,-1.0,,,,,1.0,1.0,1.0,1.0,-1.0
52,1,1.0,,1.0,1.0,1.0,1.0,0.9101,1.0,-0.2697,1.0,-0.83152,1.0,-1.0,1.0,-1.0
53,0,1.0,,-0.67935,-1.0,-1.0,1.0,1.0,0.63317,0.03515,-1.0,-1.0,-1.0,1.0,1.0,0.88683
54,1,1.0,,0.95659,0.08143,0.97487,-0.05667,0.97165,-0.08484,0.96097,-0.06561,0.94717,0.01279,0.95436,-0.16795,0.94612
55,0,1.0,,0.08333,-0.20685,-1.0,1.0,-1.0,1.0,0.71875,0.47173,-0.82143,-0.62723,-1.0,-1.0,-1.0
56,1,1.0,,1.0,-0.02259,1.0,-0.04494,1.0,-0.06682,1.0,-0.08799,1.0,0.56173,1.0,-0.12738,1.0
57,0,-1.0,,-1.0,1.0,1.0,-1.0,-1.0,1.0,,,1.0,1.0,-1.0,-0.1875,1.0
58,1,1.0,,1.0,0.05812,0.94525,0.07418,0.99952,0.13231,1.0,-0.01911,0.94846,0.07033,0.95713,0.14644,0.94862
59,0,1.0,,0.17188,-1.0,-1.0,1.0,,,,,-1.0,1.0,,,-0.61354
60,1,1.0,,1.0,0.09771,1.0,0.12197,1.0,0.22574,0.98602,0.09237,0.9493,0.19211,0.92992,0.24288,0.89241
61,0,1.0,,0.01667,-0.35625,,,,,,,,,,,0.12292
62,1,1.0,,1.0,0.16801,0.99352,0.16334,0.94616,0.33347,0.91759,0.2261,0.91408,0.37107,0.8425,0.46899,0.81011
63,0,1.0,,0.63816,1.0,0.20833,-1.0,1.0,1.0,0.87719,0.30921,-0.66886,1.0,-0.05921,0.58772,0.01754
64,1,1.0,,1.0,-0.41457,1.0,0.76131,0.8706,0.18593,1.0,-0.09925,0.93844,0.4799,0.65452,-0.1608,1.0
65,0,1.0,,0.84783,0.10598,1.0,0.3913,1.0,-1.0,0.66938,0.08424,1.0,0.27038,1.0,0.60598,1.0
66,1,1.0,,1.0,0.28046,1.0,0.02477,1.0,0.07764,1.0,0.04317,0.98762,0.33266,1.0,0.05489,1.0
67,0,-1.0,,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
68,1,1.0,,1.0,0.67784,0.81309,0.82021,0.43019,1.0,0.20619,0.80541,-0.43872,1.0,-0.79135,0.77092,-1.0
69,0,1.0,,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,1,1.0,,1.0,0.03529,1.0,0.18281,1.0,0.26968,1.0,0.25068,1.0,0.28778,1.0,0.38643,1.0
71,0,-1.0,,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,,,,,-1.0
72,1,1.0,,0.96087,0.0862,0.9676,0.19279,0.96026,0.27451,0.98044,0.35052,0.92867,0.46281,0.86265,0.52517,0.8282
73,0,1.0,,0.69444,0.38889,,,-0.32937,0.69841,,,,,,,0.20635
74,1,1.0,,1.0,0.0507,1.0,0.10827,1.0,0.19498,1.0,0.28453,1.0,0.34826,1.0,0.38261,0.94575
75,0,-1.0,,1.0,1.0,,,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
76,1,1.0,,1.0,0.04078,1.0,0.11982,1.0,0.16159,1.0,0.27921,0.98703,0.30889,0.92745,0.37639,0.91118
77,0,-1.0,,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,1,1.0,,1.0,0.24168,1.0,0.4859,1.0,0.72973,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,0,-1.0,,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,,,1.0,1.0,
80,1,1.0,,1.0,-0.06604,1.0,0.62937,1.0,0.09557,1.0,0.2028,1.0,-1.0,1.0,-0.40559,1.0
81,0,-1.0,,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
82,1,1.0,,0.92277,0.07804,0.92679,0.16251,0.89702,0.24618,0.84111,0.35197,0.78801,0.42196,0.70716,0.46983,0.70796
83,0,1.0,,0.68198,-0.17314,0.82332,0.21908,0.46643,0.32862,0.25795,0.58304,1.0,-0.15194,0.0106,0.44523,0.0106
84,1,1.0,,0.74852,-0.02811,0.6568,-0.05178,0.80621,0.02811,0.85947,0.02515,0.63462,0.08728,0.71598,0.0784,0.73077
85,0,1.0,,0.39179,-0.06343,0.97464,0.04328,1.0,1.0,0.35821,0.15299,0.54478,0.1306,0.61567,-0.8209,0.57836
86,1,1.0,,0.67547,0.04528,0.76981,-0.10566,0.77358,0.03774,0.66038,-0.04528,0.64528,0.01132,0.66792,-0.13962,0.72075
87,0,1.0,,0.72727,-0.05,0.89241,0.03462,1.0,0.72727,0.66364,-0.05909,0.48182,-0.16818,0.81809,0.09559,0.56818
88,1,1.0,,0.57647,-0.01569,0.40392,,0.38431,0.12941,0.4,-0.05882,0.56471,0.14118,0.46667,0.08235,0.52549
89,0,1.0,,0.41932,0.12482,0.35,0.125,0.23182,0.27955,-0.03636,0.44318,0.04517,0.36194,-0.19091,0.33636,-0.1335
90,1,1.0,,0.88305,-0.21996,1.0,0.36373,0.82403,0.19206,0.85086,0.05901,0.90558,-0.04292,0.85193,0.25,0.77897
91,0,1.0,,0.84557,-0.0858,-0.31745,-0.80553,-0.08961,-0.56435,0.80648,0.04576,0.89514,-0.00763,-0.18494,0.63966,-0.20019
92,1,1.0,,0.7087,-0.24783,0.64348,0.04348,0.45217,0.38261,0.65217,0.18261,0.5,0.26957,0.57826,-0.23043,0.50435
93,0,1.0,,-0.5418,0.14861,-0.33746,0.73375,0.52012,-0.13932,0.31889,-0.06811,0.20743,-0.1517,0.47368,0.08978,0.56347
94,1,1.0,,0.29202,0.13582,0.45331,0.16808,0.51783,-0.00509,0.52632,0.20883,0.52462,-0.16638,0.47368,-0.04754,0.55518
95,0,1.0,,0.79157,0.16851,,,0.56541,0.06874,0.39468,1.0,0.38359,0.99557,-0.02439,0.53215,0.23725
96,1,1.0,,0.90116,0.16607,0.79299,0.37379,0.7299,0.50515,0.59784,0.72997,0.44303,0.81152,0.24412,0.87493,0.06438
97,1,1.0,,0.97714,0.19049,0.82683,0.46259,0.71771,0.58732,0.47968,0.84278,0.31409,0.92643,0.10289,0.93945,-0.13254
98,0,1.0,,-1.0,-1.0,,,0.50814,-0.78502,0.60586,0.32899,-1.0,-0.41368,,,
99,1,1.0,,0.74084,0.04974,0.79074,0.02543,0.78575,0.03793,0.6623,0.09948,0.67801,0.31152,0.75934,0.07348,0.74695
100,0,1.0,,1.0,-1.0,,,0.77941,-0.99265,0.80882,0.55147,-0.41912,-0.94853,,,
101,1,1.0,,1.0,0.01709,0.96215,-0.03142,1.0,-0.03436,1.0,-0.05071,0.99026,-0.07092,0.99173,-0.09002,1.0
102,0,-1.0,,,,,,,,,,,,,,
103,1,1.0,,0.95704,-0.12095,0.63318,-0.1269,0.96365,-0.18242,0.97026,0.0846,0.92003,-0.01124,0.83543,-0.24719,1.0
104,0,1.0,,0.28409,-0.31818,,,0.68182,-1.0,0.30682,0.95833,0.64394,0.06439,0.34848,-0.84848,
105,1,1.0,,0.9449,-0.49311,1.0,-0.03692,0.98898,-0.87052,0.90083,0.66942,1.0,-0.10104,1.0,-0.12493,1.0
106,0,1.0,,,,,,,,,,0.62195,1.0,,,
107,1,1.0,,0.99449,0.00526,0.84082,-0.11313,0.88237,-0.16431,0.99061,-0.06257,0.96484,-0.07496,0.85221,0.02966,0.87161
108,0,1.0,,0.10135,0.10811,,,,,0.5473,0.82432,0.31081,1.0,,,
109,1,1.0,,1.0,-0.57224,0.9915,-0.73371,0.89518,-0.9745,1.0,-0.35818,1.0,-0.23229,0.6289,-0.86402,1.0
110,0,1.0,,0.65909,-0.62879,,,,,0.77273,1.0,1.0,-0.2803,,,
111,1,1.0,,0.86284,0.1931,0.8092,0.41149,0.67203,0.55785,0.54559,0.69962,0.36705,0.81533,0.19617,0.85671,-0.04061
112,0,1.0,,0.42,-0.61,,,1.0,-1.0,0.9,1.0,0.43,0.64,,,
113,1,1.0,,1.0,0.23395,0.91404,0.52013,0.7802,0.72144,0.4766,0.84222,0.27639,0.9173,0.09467,0.88248,-0.2198
114,0,1.0,,0.91353,0.81586,-0.72973,1.0,-0.39466,0.55735,0.05405,0.2973,-0.18599,-0.10241,-0.03158,-0.0897,0.01401
115,1,1.0,,0.21429,-0.09524,0.33333,0.07143,0.19048,0.19048,0.2381,0.09524,0.40476,0.02381,0.30952,-0.04762,0.30952
116,0,1.0,,1.0,-0.14754,1.0,0.04918,0.57377,-0.01639,0.65574,0.01639,0.85246,-0.03279,0.72131,,0.68852
117,1,1.0,,0.98182,,0.88627,0.03131,0.86249,0.04572,0.8,,0.69091,0.04545,0.79343,0.08436,0.77118
118,0,1.0,,0.39286,0.52381,-0.78824,0.11342,-0.16628,-0.76378,0.66667,0.0119,0.82143,0.40476,-0.6723,0.30729,-0.34797
119,1,1.0,,0.86889,-0.07111,1.0,-0.02494,1.0,-0.06889,0.87778,0.00222,0.83556,-0.06444,1.0,-0.07287,1.0
120,0,1.0,,0.43636,-0.12727,0.58182,-0.14545,0.18182,-0.67273,0.34545,-0.03636,0.29091,-0.05455,0.29091,0.29091,0.36364
121,1,1.0,,1.0,-0.92453,1.0,0.75472,0.49057,-0.0566,0.62264,,1.0,-0.00054,0.45283,0.07547,0.62264
122,0,1.0,,0.7381,0.83333,-0.7619,-0.2381,0.33333,-0.14286,0.45238,-0.14286,-0.67285,0.12808,0.33333,,0.28571
123,1,1.0,,0.4375,0.04167,0.58333,-0.10417,0.39583,,0.33333,-0.0625,0.47917,,0.29167,0.10417,0.54167
124,0,1.0,,1.0,1.0,,,,,,,0.47744,-0.89098,-0.51504,0.45489,-0.95489
125,1,1.0,,0.95217,0.06595,0.93614,0.1303,0.90996,0.19152,0.84881,-0.49962,0.90023,0.6132,0.77937,0.34328,0.72254
126,0,1.0,,0.5984,0.40332,0.82809,0.80521,0.76001,0.70709,0.8401,-0.10984,0.97311,0.07981,0.95824,-0.85727,0.91962
127,1,1.0,,0.95882,0.10129,1.0,-0.01918,0.98313,0.02555,0.96974,-0.09316,0.98955,-0.02716,0.9798,-0.03096,1.0
128,0,1.0,,,,-0.33672,0.85388,,,0.68869,-1.0,0.97078,0.31385,-0.26048,-0.59212,-0.30241
129,1,1.0,,0.96933,0.00876,1.0,0.00843,0.98658,-0.00763,0.97868,-0.02844,0.9982,-0.0351,1.0,-0.01271,1.0
130,0,1.0,,,,0.98919,-0.22703,0.18919,-0.05405,,,0.93243,0.07297,1.0,-0.2,1.0
131,1,1.0,,0.64122,0.01403,0.34146,-0.02439,0.52751,0.03466,0.19512,0.12195,0.43313,0.04755,0.21951,0.04878,0.29268
132,0,1.0,,1.0,1.0,1.0,-1.0,,,,,1.0,1.0,1.0,-1.0,1.0
133,1,1.0,,0.34694,0.20408,0.46939,0.2449,0.40816,0.20408,0.46939,0.44898,0.30612,0.59184,0.12245,0.55102,
134,0,1.0,,,,1.0,-1.0,,,,,1.0,1.0,1.0,-0.25342,1.0
135,1,1.0,,0.89706,0.38235,0.91176,0.375,0.74265,0.67647,0.45588,0.77941,0.19118,0.88971,-0.02206,0.86029,-0.20588
136,0,1.0,,-1.0,0.28105,0.22222,0.15033,-0.75693,-0.70984,-0.30719,0.71242,-1.0,1.0,-0.81699,0.33987,-0.79085
137,1,1.0,,0.26667,-0.1,0.53333,,0.33333,-0.13333,0.36667,0.11667,0.56667,0.01667,0.71667,0.08333,0.7
138,0,1.0,,-0.26667,0.4,-0.27303,0.12159,-0.17778,-0.04444,0.06192,-0.06879,0.04461,0.02575,-0.00885,0.02726,-0.01586
139,1,1.0,,1.0,-0.37838,0.64865,0.2973,0.64865,-0.24324,0.86486,0.18919,1.0,-0.27027,0.51351,,0.62162
140,0,1.0,,0.94531,-0.03516,-1.0,-0.33203,-1.0,-0.01563,0.97266,0.01172,0.93359,-0.01953,-1.0,0.16406,-1.0
141,1,1.0,,0.95202,0.02254,0.93757,-0.01272,0.93526,0.01214,0.96705,-0.01734,0.96936,0.0052,0.95665,-0.03064,0.9526
142,0,1.0,,1.0,-0.05529,1.0,-1.0,0.5,-0.11111,0.36111,-0.22222,1.0,-0.25712,0.16667,-0.11111,1.0
143,1,1.0,,0.31034,-0.10345,0.24138,-0.10345,0.2069,-0.06897,0.07405,-0.05431,0.03649,-0.03689,0.01707,-0.02383,0.00741
144,0,1.0,,0.62745,-0.07843,0.72549,,0.60784,-0.07843,0.62745,-0.11765,0.68627,-0.11765,0.66667,-0.13725,0.64706
145,1,1.0,,0.25,0.16667,0.46667,0.26667,0.19036,0.23966,0.07766,0.19939,0.0107,0.14922,-0.02367,0.10188,-0.03685
146,0,1.0,,-0.65625,0.15625,0.0625,,,0.0625,0.625,0.0625,0.1875,,-0.03125,0.09375,0.0625
147,1,1.0,,1.0,-0.01081,1.0,-0.02703,1.0,-0.06486,0.95135,-0.01622,0.98919,-0.03243,0.98919,0.08649,1.0
148,0,1.0,,0.85271,0.05426,1.0,0.08069,1.0,1.0,0.91473,-0.00775,0.83721,0.03876,1.0,0.27153,1.0
149,1,1.0,,0.90374,-0.01604,1.0,0.08021,1.0,0.01604,0.93048,0.00535,0.93583,-0.01604,1.0,,1.0
150,0,1.0,,-0.205,0.2875,0.23,0.1,0.2825,0.3175,0.3225,0.35,0.36285,-0.34617,0.0925,0.275,-0.095
151,1,1.0,,0.6,0.03333,0.63333,0.06667,0.7,0.06667,0.7,,0.63333,,0.8,,0.73333
152,0,1.0,,0.05866,-0.00838,0.06704,0.00838,,-0.01117,0.00559,-0.03911,0.01676,-0.07542,-0.00559,0.05307,0.06425
153,1,1.0,,0.94653,0.28713,0.72554,0.67248,0.47564,0.82455,0.01267,0.89109,-0.24871,0.84475,-0.47644,0.56079,-0.75881
154,0,1.0,,0.0546,0.01437,-0.02586,0.04598,0.01437,0.04598,-0.07759,0.00862,0.01724,-0.06609,-0.03736,0.0431,-0.08333
155,1,1.0,,0.72414,-0.01084,0.79704,0.01084,0.8,0.00197,0.79015,0.01084,0.78424,-0.00985,0.8335,0.03251,0.85123
156,0,1.0,,0.03852,0.02568,0.00428,,0.01997,-0.01997,0.0214,-0.04993,-0.0485,-0.01284,0.01427,-0.02282,
157,1,1.0,,0.4709,0.22751,0.42328,0.33598,0.25661,0.47619,0.01852,0.49471,-0.02116,0.53968,-0.34127,0.31217,-0.4127
158,0,1.0,,0.08696,0.00686,0.13959,-0.04119,0.10526,-0.08238,0.12586,-0.06178,0.23341,-0.01144,0.12357,0.0778,0.14645
159,1,1.0,,0.94333,0.38574,0.48263,0.64534,0.21572,0.77514,-0.55941,0.64899,-0.73675,0.42048,-0.76051,,-0.62706
160,0,1.0,,0.01975,0.00705,0.0409,-0.00846,0.02116,0.01128,0.01128,0.04372,0.00282,0.00141,0.01975,-0.03103,-0.01975
161,1,1.0,,0.85736,0.00075,0.81927,-0.05676,0.77521,-0.04182,0.84317,0.09037,0.86258,0.11949,0.88051,-0.06124,0.78342
162,0,1.0,,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
163,1,1.0,,0.85209,0.39252,0.38887,0.76432,0.08858,0.98903,-0.42625,0.88744,-0.76229,0.4998,-0.93092,0.10768,-0.859
164,0,1.0,,1.0,1.0,1.0,0.5125,0.625,-1.0,1.0,1.0,0.025,0.03125,1.0,1.0,
165,1,1.0,,1.0,0.54902,0.62745,1.0,0.01961,1.0,-0.4902,0.92157,-0.82353,0.58824,-1.0,0.11765,-0.96078
166,0,1.0,,,,-1.0,-1.0,-1.0,1.0,,,-1.0,1.0,1.0,1.0,1.0
167,1,1.0,,0.44444,0.44444,0.53695,0.90763,-0.22222,1.0,-0.33333,0.88889,-1.0,0.33333,-1.0,-0.11111,-1.0
168,0,-1.0,,,,,,,,,,,,,,
169,1,1.0,,1.0,,1.0,,0.5,0.5,0.75,,0.91201,0.12094,0.89067,0.1421,0.86922
170,0,-1.0,,-1.0,1.0,1.0,1.0,,,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
171,1,1.0,,1.0,,1.0,,0.66667,0.11111,1.0,-0.11111,0.88889,-0.11111,1.0,-0.22222,0.77778
172,0,-1.0,,,,,,,,,,,,-1.0,-1.0,
173,1,1.0,,1.0,0.45455,1.0,-0.45455,1.0,0.09091,1.0,-0.09091,1.0,,1.0,-0.27273,1.0
174,0,1.0,,0.62121,-0.63636,,,,,0.3447,0.28788,0.42803,0.39394,-0.07576,0.51894,0.36364
175,1,1.0,,1.0,0.11765,1.0,0.23529,1.0,0.41176,1.0,0.05882,1.0,0.23529,1.0,0.11765,1.0
176,0,1.0,,,,-1.0,-0.62766,1.0,0.51064,0.07979,-0.23404,-1.0,-0.3617,0.12766,-0.59043,1.0
177,1,1.0,,0.91667,0.29167,0.83333,-0.16667,0.70833,0.25,0.875,-0.08333,0.91667,0.04167,0.83333,0.125,0.70833
178,0,1.0,,0.1859,-0.16667,,,,,,,,,0.11538,-0.19071,
179,1,1.0,,1.0,-0.08183,1.0,-0.11326,0.99246,-0.29802,1.0,-0.33075,0.96662,-0.34281,0.85788,-0.47265,0.91904
180,0,1.0,,1.0,1.0,-1.0,1.0,-1.0,-0.82456,0.34649,0.21053,0.46053,0.07018,0.22807,0.05702,0.35088
181,1,1.0,,1.0,0.24077,0.99815,0.00369,0.80244,-0.30133,0.89919,-0.23486,0.70643,-0.24077,0.73855,-0.30539,0.71492
182,0,-1.0,,-1.0,1.0,1.0,-1.0,,,,,1.0,-1.0,1.0,1.0,
183,1,1.0,,0.92247,-0.19448,0.96419,-0.17674,0.87024,-0.22602,0.81702,-0.2707,0.79271,-0.28909,0.70302,-0.49639,0.63338
184,0,1.0,,-1.0,-1.0,-0.50694,1.0,1.0,-1.0,1.0,0.53819,,,0.23958,-1.0,1.0
185,1,1.0,,0.84177,0.4346,0.5,0.7616,0.09916,0.9346,-0.37764,0.88186,-0.72363,0.61181,-0.93882,0.19409,-0.86709
186,0,1.0,,1.0,1.0,,,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,
187,1,1.0,,1.0,0.63548,1.0,1.0,0.77123,1.0,-0.33333,1.0,-1.0,1.0,,1.0,-1.0
188,0,-1.0,,-1.0,1.0,-1.0,-1.0,,,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
189,1,1.0,,1.0,0.06843,1.0,0.14211,1.0,0.22108,1.0,-0.125,1.0,0.39495,1.0,0.48981,1.0
190,0,-1.0,,-1.0,-1.0,,,,,,,,,,,1.0
191,1,1.0,,0.64947,-0.07896,0.58264,-0.1438,-0.13129,-0.21384,0.29796,0.04403,0.38096,-0.26339,0.28931,-0.31997,0.03459
192,0,1.0,,,,,,,,,,1.0,-0.33333,0.16667,0.26042,
193,1,1.0,,1.0,0.05149,0.99363,0.10123,0.96142,0.14756,0.95513,-0.26496,0.66026,0.54701,0.80426,0.25283,0.73781
194,0,1.0,,1.0,-0.09524,-1.0,-1.0,-1.0,-1.0,1.0,0.31746,0.81349,0.7619,-1.0,-1.0,-1.0
195,1,1.0,,0.93669,-0.0019,0.60761,0.43204,0.92314,-0.40129,0.93123,0.16828,0.96197,0.09061,0.99676,0.08172,0.91586
196,0,1.0,,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
197,1,1.0,,1.0,0.23058,1.0,-0.78509,1.0,-0.10401,1.0,0.15414,1.0,0.2782,0.9812,-0.06861,1.0
198,0,1.0,,0.36876,-1.0,-1.0,-1.0,-0.07661,1.0,1.0,0.95041,0.74597,-0.3871,-1.0,-0.79313,-0.09677
199,1,1.0,,0.79847,0.38265,0.80804,-0.16964,1.0,-0.07653,0.98151,-0.07398,0.70217,0.20663,0.99745,0.02105,0.98214
200,0,-1.0,,,,,,,,,,,,1.0,1.0,1.0
201,1,1.0,,1.0,-0.28428,1.0,-0.25346,0.94623,-0.35094,1.0,-0.30566,0.92736,-0.49057,0.90818,-0.44119,0.75723
202,0,1.0,,,,,,,,-0.85,-1.0,,,1.0,-1.0,
203,1,1.0,,1.0,0.09091,0.95455,-0.09091,0.77273,,1.0,,0.95455,,1.0,0.04545,0.90909
204,0,-1.0,,,,-1.0,1.0,1.0,1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0
205,1,1.0,,0.91176,-0.08824,0.97059,0.17647,0.82353,0.08824,0.91176,-0.02941,0.97059,-0.17647,0.97059,0.14706,0.94118
