idx,ambient,coolant,u_d
68,0.30239797,-0.001730396,0.33743817
69,0.37238103,0.13373417,0.3020543
70,-2.7498572,-1.0218029,-1.6049559
71,0.27569938,0.32767957,-1.1404432
72,1.3227413,-1.1389881,-1.4975256
73,-1.8565478,-1.0698603,-0.345832
74,0.46116924,2.1686,-0.20957978
75,-0.9438561,-1.0691476,0.33988655
76,0.6886318,1.2224717,-0.86681527
77,-0.63251066,-1.0742748,0.29174784
78,-0.13575153,0.3301182,2.0410671
79,-0.097020045,-0.1659893,1.1970171
80,-0.6919062,-1.0798792,0.1799107
81,0.6886087,2.1905377,1.6154964
82,0.20060724,-1.0492202,-1.6087391
83,0.10018462,1.9480299,0.29678062
84,0.046093836,-0.8059444,0.6712835
85,0.44186422,-0.60253507,1.3748845
86,0.67772007,1.7475554,-0.8159198
87,-1.3257879,-1.0445089,-1.4909561
88,-1.0025411,-1.065041,-1.5182817
89,-1.1537391,-1.0670562,0.5144169
90,-0.073921874,1.255958,-0.3984287
91,0.68854445,0.17534006,0.35017893
92,-0.7905131,-1.0723919,0.18626781
93,-1.9065875,-1.0735073,0.2830704
94,0.6328547,-1.211159,0.35310856
95,0.4583126,1.1801866,0.6927386
96,0.6332813,-0.363854,0.8092384
97,-0.15325081,2.176567,0.3108698
98,-0.089254074,-0.16307628,0.5887249
99,0.6886087,-0.5495097,2.1493654
100,-0.5532821,-0.638004,0.315625
101,0.008539742,0.070098996,-1.3449842
102,-1.4433604,-1.0691167,-0.75237906
103,-2.4701078,-1.0672102,-0.34582812
104,0.46712247,0.31674403,-0.7266517
105,0.6886087,1.7475164,0.9473375
106,-0.09232553,0.27889323,-0.3386697
107,0.688419,0.5225791,0.065121084
108,0.5599467,-0.6960501,0.34703222
109,0.6886087,0.32803342,-0.3405905
110,-0.5011978,-1.0466014,0.18101175
111,-0.76904297,-0.12821408,0.30054387
112,0.6883377,0.38532147,0.3386716
113,1.4386698,0.8396379,2.0905447
114,1.2050602,0.6093375,1.6612393
115,0.6886067,0.33069658,-0.4039354
116,0.831578,-0.6993086,-1.0490437
117,-0.85840034,-1.09344,0.18140404
118,-0.54132247,1.9534489,-0.8233851
119,-0.5979015,-0.6386372,0.3145638
120,0.28012288,-0.010296909,0.33703983
121,-0.1403035,1.9540864,-0.9351158
122,0.6886087,-0.123566315,1.9823614
123,0.85513794,1.2520555,0.32079
124,1.1871866,0.31707957,0.3209482
125,0.6886117,1.2301348,-1.503886
126,0.33329824,0.3478168,0.5807288
127,0.26716855,0.113567896,1.4353126
128,-0.09282439,0.2791383,-0.8032865
129,-1.0260679,-1.072782,-1.1127559
130,0.4275067,-0.66512895,-1.1469618
131,0.12538563,-1.0665628,0.12348457
132,-0.8133071,0.8389598,-0.20166403
133,0.21983397,2.1751478,0.31372395
134,0.66718274,0.913078,0.3189921
135,1.4616003,0.55722356,0.42446116
136,0.6886087,-0.7828019,-1.1108731
137,-0.09487604,0.8389598,2.1961577
138,-0.16357532,-1.059839,-1.1546746
139,0.3503709,1.6331441,-1.4649973
140,-0.097557046,-0.63424623,1.6871965
141,-0.5633266,-1.073225,-0.6055543
142,-1.407027,-1.0729896,1.5669291
143,0.88966775,0.6072014,-1.1951545
144,0.5339227,1.7475554,-0.45972526
145,0.6289642,-0.45623818,0.8559338
146,-0.25941786,-0.720573,0.34453213
147,0.3130467,-1.040264,-1.6002964
148,-0.9978696,-0.29940155,2.0067818
149,-0.9915641,-0.6401835,-0.14154807
150,-0.6240732,-1.0584848,-0.6008269
151,0.6888576,1.2372694,-0.85496485
152,-0.89209706,-0.57532513,-0.91373616
153,0.5122488,1.7475554,0.34146133
154,-0.030728746,0.34090087,-0.75375956
155,0.6962462,-0.30018616,1.9996971
156,0.43347093,-0.6124041,1.6516176
157,-1.3501438,-1.0605913,-0.263151
158,0.28942055,-1.0871581,0.31371942
159,2.4858463,1.0100408,-1.469264
160,1.0439072,0.20793207,-1.6187277
161,0.6839353,-1.2111281,0.42851567
162,2.0108664,0.15588161,0.03609875
163,-0.94051766,0.8389598,0.65558666
164,-1.5626897,-1.049484,-1.6055526
165,0.6886358,0.3353435,0.17611693
166,-2.7498572,-1.0216017,-1.6007831
167,1.3670747,0.328771,-1.5024731
168,-0.9969943,-0.35718212,-1.3379154
169,0.48358187,-1.0376493,-1.6210911
170,-1.04357,-1.0670997,-0.26812378
171,0.5697242,-0.6665856,0.34647855
172,0.6886087,-0.8264101,-0.12166103
173,0.6885475,-0.8269505,-0.77050143
174,0.6861937,2.1801527,1.8048984
175,0.6813366,-1.0848066,0.91746336
176,1.3100791,1.012783,-0.28877032
177,0.116485424,2.1503427,0.3071067
178,0.70283777,-0.13129742,0.81097716
179,0.6584703,-0.92108786,0.35959393
180,0.6349656,1.408074,-1.3074253
181,0.06177634,2.1476467,0.355818
182,0.041689403,2.1047392,0.8508502
183,-0.9074955,-0.36096302,-1.3364229
184,-2.967949,-1.0937942,0.17811134
185,0.6886087,-0.1750851,0.13494901
186,0.8234577,1.0238308,-1.4308747
187,0.1197747,2.1482208,0.35563347
188,0.681443,0.596031,-0.042035654
189,1.3608254,0.98615855,0.33083388
190,-0.11548392,1.9492722,0.307165
191,-0.99691105,-1.0409256,-0.9070817
192,0.5880817,0.17855047,0.3466812
193,0.6042179,1.0071698,-0.9418086
194,0.34790874,1.0074195,-0.9415724
195,0.4892219,-1.0896136,0.11740909
196,1.7364777,-1.0527095,-1.1612978
197,0.6891266,1.6611186,0.48265108
198,-0.5830391,-1.0782365,-0.71315956
199,0.6886087,-0.5488106,-1.5811499
200,0.57705957,-0.69265807,0.34846592
201,0.6886087,-0.64290977,0.3056054
202,0.12618862,0.5686036,0.41565913
203,1.5511825,0.5661699,0.34637442
204,1.3316194,-0.1468515,1.4207594
205,-0.37111855,-1.0368593,-1.6095725
206,0.7099192,-0.06442192,-1.3209485
207,-0.7680894,-0.37470454,1.9693283
208,0.6886037,1.747553,0.42363173
209,-1.0131817,-1.0419672,-0.46380058
210,-3.0538473,-1.0663904,0.30221835
211,2.1876428,2.1813233,-1.5277675
212,0.3681914,-0.90643746,-0.15769093
213,0.36714852,2.1762319,0.2399341
214,0.2673231,-1.0865109,2.006218
215,1.3878582,0.322082,0.42728055
216,0.69443345,1.9526181,1.5056896
217,0.6886147,1.2429911,0.32123235
218,-0.5125351,2.02337,-0.057982862
219,2.112084,-0.051163174,0.41011795
220,0.38841987,0.91225463,0.33883417
221,0.8478397,1.2471094,-1.2982794
222,0.45679292,-1.053069,-1.6059017
223,2.0304322,2.1747978,-0.80638456
224,-0.14428435,0.38925475,0.3492773
225,0.19208845,0.32790652,-0.24559425
226,-0.13561602,0.8389598,-0.69468224
227,0.40385345,0.33296642,-0.09515532
228,-1.8874621,-1.0658616,-0.2724512
229,0.65144,1.0059413,-1.1666609
230,-1.8006824,-1.0559845,-0.11887383
231,-0.8822483,1.007438,0.20740479
232,-0.8307301,-1.0513431,-1.0848124
233,0.2563783,1.2454387,-0.13249812
234,-0.60326254,-1.0584884,-0.95783055
235,-0.122205,-0.6968595,0.2842674
236,-0.9451419,1.5029584,0.29894397
237,-1.3318946,-1.0728275,0.5139995
238,0.42175522,0.9797398,1.0483806
239,1.563945,0.6096737,2.248535
240,0.120929,1.7408893,-1.5962256
241,0.6348793,-1.1012465,0.3318439
242,0.3585414,1.7475554,-0.32368648
243,0.6885796,-1.0316232,-1.65049
244,-1.9536731,-1.0750319,-0.8468814
245,1.9802731,-0.04494842,0.5731677
246,0.69387436,2.177354,0.4806311
247,0.02344334,-1.0565238,-1.078535
248,-1.1408149,-1.0825676,-0.59803116
249,1.5411019,0.31846407,0.9527149
250,0.6883337,1.4502811,-0.55832
251,-0.28147414,2.1758947,0.20235981
252,-1.6369898,-1.0751753,-0.26247343
253,-2.7498572,-1.0495514,0.22390178
254,0.78172106,1.6609678,-0.05023471
255,-0.13137521,-1.1001045,-0.96430695
256,-1.007917,-0.6601716,0.3186845
257,-0.8796787,-1.0850657,0.2978006
258,1.4815146,-0.06790766,-1.3734372
259,0.6724966,1.25394,-0.94205004
260,-0.51855254,-0.6409024,0.31551713
261,0.6867357,-0.63401526,-1.2671628
262,-0.12104065,-1.0787975,0.3210744
263,0.23778392,0.3270667,-0.60622966
264,-0.99249357,0.0707567,0.35153916
265,0.9451336,0.31211987,1.42864
266,2.0927517,1.0092654,-1.449478
267,0.40470964,1.0651593,0.18544197
268,-1.9244492,-1.0780574,0.28301322
269,0.36892614,1.1770759,-0.16836742
270,0.7275329,2.2574172,0.7525129
271,1.8472991,1.0131812,-0.29187596
272,0.62378186,-0.30582887,1.4420891
273,1.4926813,0.78608716,-0.28448328
274,2.521187,1.014235,-1.4711249
275,0.6886097,-0.6439375,0.305301
276,-0.08538062,2.1762114,0.24098945
277,-0.522968,-0.35153237,-1.2632957
278,0.6874785,0.3246838,0.116369605
279,0.58468604,2.1799736,1.9483824
280,-0.48665354,2.172228,0.7742604
281,0.97064984,-0.070980236,1.9127837
282,1.2203523,1.0158446,-1.1643596
283,-1.727388,-1.0598872,-0.26378784
284,-0.14072308,1.9329811,0.29859668
285,-0.5587706,0.33072874,0.31568018
286,0.34380645,-1.0530468,-1.5997388
287,0.6886137,1.4760253,-0.5128306
288,-0.14425224,-1.0653828,-0.9607726
289,-0.13211897,-0.18437979,-0.4054832
290,0.12922896,-1.0641679,0.31363225
291,0.3084666,-0.6384016,1.8415738
292,0.62305015,-0.69632035,0.34915733
293,-1.4198277,0.33426356,0.20895733
294,0.16051668,0.327105,0.1610068
295,-0.5324815,2.1763196,0.31130457
296,-1.0035056,-1.0613202,-1.4308138
297,0.29244784,-0.66545826,0.8438344
298,-0.8571557,0.8389598,1.5827488
299,-0.99766487,-1.0475857,-1.3240299
300,0.28701457,-1.0782478,0.31519726
301,0.6886609,1.9373238,0.8676089
302,1.0006628,-0.12549739,0.7295977
303,0.13530463,-1.0936033,2.0011735
304,-0.6097658,-0.123802476,0.31495705
305,0.6886047,0.7151578,1.6919637
306,0.5836672,1.9922026,-0.6526242
307,0.07349104,0.31591275,-0.3898345
308,-0.5735668,-1.0757084,-1.0882372
309,-0.86659086,-0.36559883,-1.1030155
310,0.3009074,0.32761306,-0.09498078
311,-0.86834645,-1.0851294,0.29322478
312,-0.15234944,-0.04563914,0.29880893
313,1.289142,0.5555121,1.4414324
314,-0.9440177,-1.0616586,0.2983727
315,-1.9057002,-1.0644624,-0.8487549
316,0.58831257,1.9769846,1.8031651
317,-0.90663326,-0.8153307,0.35339308
318,0.4358538,2.1152363,1.7135288
319,0.5103216,1.7104622,0.34122175
320,-0.15066718,-0.38513866,-1.5887989
321,0.65680206,-0.52840173,2.0647128
322,-0.12651105,0.3335378,1.3780143
323,-1.4131719,-1.0708051,-0.4742347
324,-2.749789,-1.0658104,0.16986185
325,0.688963,-0.6609471,-1.3967574
326,0.6821546,-1.2111796,1.4737391
327,0.020797469,1.9541914,0.2953195
328,0.74767005,-0.8623862,0.3593831
329,0.32078153,-0.6729129,0.4462005
330,1.3135681,0.85210466,0.3415509
331,0.44046602,0.44294557,-1.2514106
332,-0.8645864,-1.0488827,0.17986257
333,0.3061058,-1.0667326,-1.0722964
334,0.68426347,0.3395942,2.1360328
335,0.68892086,-0.7351086,-0.18363743
336,0.68858564,2.180167,1.7077981
337,0.79246616,0.33734724,-1.1516047
338,-0.9799106,-0.35517034,-1.3393906
339,-0.4681696,-0.7019587,-0.18743767
340,-0.14402238,-0.12633072,-0.14117272
341,0.6227169,-0.12948129,2.2006683
342,-1.1945071,-1.0942092,-0.8190213
343,-1.0165242,-0.80992126,0.33888167
344,0.31573573,1.9405193,0.30347252
345,-0.13951857,-0.697192,-1.1273609
346,0.35692438,0.33061603,-1.1285291
347,-0.62444454,-0.31801194,-1.4322834
348,-0.44836572,0.32670996,0.6089686
349,-0.8243724,0.5267716,0.34822676
350,0.2902898,1.3339173,0.3168458
351,1.0596337,-0.6018062,2.081513
352,0.6886087,-0.79199505,0.32194993
353,0.65685624,-1.0910779,0.11895115
354,-0.45738435,-1.07737,-0.22186686
355,0.6827057,0.5070207,-1.0228205
356,0.077690706,-0.35533518,1.3757511
357,1.5386167,0.51365465,2.2512038
358,-0.75834006,0.16694216,1.8286186
359,1.5437889,0.54931015,1.7133068
360,-0.104090415,-0.35414356,-0.89321357
361,2.202455,-0.6856856,-0.60285026
362,0.3931756,-0.056135695,1.862621
363,-2.6008685,-1.0728481,0.16967201
364,-0.16497956,-0.044820163,0.30058023
365,0.11712782,0.35907298,1.5086133
366,0.6886087,2.164649,-1.4526068
367,-0.5269659,-0.6433728,0.3161188
368,0.3824295,1.1771688,-0.26478195
369,-0.0329681,0.3185412,-1.5563041
370,-0.14795807,1.131667,-0.40758058
371,-1.4139649,-1.0926896,0.8953393
372,-0.6968386,-0.77871907,0.30391037
373,0.289812,-0.5894518,-0.22439243
374,-0.11575493,-1.0770512,-0.32804555
375,0.58203214,-0.2107791,0.28691614
376,0.058044415,1.6621567,0.30059013
377,-1.8876379,-1.0690827,-0.09448056
378,-0.85420465,-1.0755907,0.29406247
379,1.5561962,-1.0625687,-1.154358
380,0.66605353,1.3483973,1.5718178
381,1.105811,1.1048088,1.4837232
382,-0.259457,-0.35181198,-1.4585347
383,0.093037955,-0.6041495,-0.24902478
384,-2.7474394,-1.06975,0.1687866
385,-1.0168012,-0.7918592,2.0717785
386,-0.14844388,0.2953877,-0.8604153
387,-1.8466429,-1.0891126,-1.0681828
388,-0.051561464,0.2837464,-1.0213468
389,-0.08724357,-1.0746559,-1.6375589
390,-1.0319628,-1.057738,0.5144231
391,-0.09798866,2.111441,-1.0264434
392,0.7161133,0.19478089,-0.18915738
393,0.6806249,1.1242414,-0.63954985
394,-1.0768201,-1.0380867,-1.5231712
395,0.6886087,1.1942934,0.29784092
396,1.4919716,1.2409127,-1.5249515
397,-0.044207025,0.73712754,0.29988393
398,0.28269345,0.13105662,0.28246933
399,1.5558921,0.6095884,-0.038884364
400,-1.96301,-1.053831,-1.0595584
401,-0.043648943,-1.0836442,-1.496742
402,-0.35364637,-0.32953954,0.50051373
403,0.20871548,2.1745017,0.31379005
404,0.6886087,1.0444713,0.018467141
405,0.6886087,0.8712592,-0.07442824
406,-0.934972,-1.0820211,0.29389632
407,-0.18051954,-0.04688103,0.29938772
408,-2.7519963,-1.0620775,0.27839488
409,-1.1959485,-1.058374,0.51468754
410,0.58865887,0.32682094,0.26820105
411,-0.081238165,-1.082773,0.32292056
412,1.1338215,1.5357589,1.1088675
413,-2.9338417,-1.024418,-1.6204519
414,0.6886087,1.1988697,0.3003563
415,-1.7347596,-1.0692824,-1.3283232
416,-0.69238,-1.0397282,-1.6127908
417,-2.9946485,-1.0778515,0.17878471
418,0.5481186,1.7475554,0.48593667
419,0.6394242,-1.0750943,0.16301315
420,0.3609795,-1.0623863,2.0007854
421,0.03052074,-1.0666436,-1.1722099
422,0.6886087,1.9479378,1.1302415
423,-0.15038712,-0.046798263,0.2991852
424,-0.43436348,-0.19063711,0.3526064
425,1.8766646,2.1751232,-0.58567315
426,0.65035,-1.0798705,0.117561564
427,0.715767,-0.073135845,0.11332048
428,-0.154371,-0.18377268,-0.40452105
429,0.36948422,2.1820953,-1.5975542
430,-0.09870533,-0.12007151,0.9360828
431,-0.098746486,-0.1712958,0.52877855
432,2.1324458,1.7474313,0.29903743
433,1.04038,-0.13620463,-1.5891209
434,-1.350499,-1.0808458,0.51448953
435,0.5330895,2.030021,-0.5850815
436,-0.71434194,-1.0719286,0.30091214
437,0.68860567,-0.83956796,-0.49044666
438,-1.2073139,-1.0745847,-0.4682567
439,-1.1650794,-1.0789269,-1.573321
440,0.6886097,1.9438052,1.6370935
441,0.3700202,-0.8456697,1.60096
442,0.27689785,0.20145857,1.8245674
443,-0.10823889,1.0967346,0.30820796
444,-0.63221556,1.1652592,0.06840357
445,0.66141826,-0.5823477,-0.32135928
446,0.6901334,-0.07081846,1.4714179
447,-1.9190872,-1.0840764,0.03207073
448,-0.784051,-0.4112408,-0.38497385
449,0.6886037,0.17583497,0.35044485
450,0.47082025,-1.0917765,2.0049565
451,0.68805265,-0.6119681,1.2142937
452,0.48081154,0.3376732,2.1230214
453,0.36924332,0.13627814,0.30071408
454,0.6886087,0.54061556,2.0188446
455,0.4843718,-0.12607746,2.1800742
456,0.22545192,0.25527886,-0.09617601
457,-1.4421761,-1.0615785,-1.0372056
458,0.6886087,-0.30078536,0.3508548
459,0.4362553,0.89016855,0.33735943
460,1.4176424,0.15680969,1.2340597
461,0.33639076,0.31829512,-0.6577064
462,-1.5039897,-1.0448079,0.18185727
463,0.2922491,0.0041724313,0.33734837
464,0.55552626,-1.0835233,0.117852345
465,-0.05213761,-1.0729604,-1.1702775
466,-0.09854875,-0.5817842,-1.3350211
467,-0.99549174,-0.35811242,0.29989222
468,-1.7771106,-1.0436,-1.6393653
469,-0.12612963,0.3371916,1.3011348
470,-0.09272402,2.1015007,-0.05699572
471,-0.17334376,-0.54908454,-1.1898941
472,-0.7922596,-1.0790383,0.18226378
473,0.36372373,1.5195346,0.33251554
474,-0.7574417,0.17176197,2.190539
475,1.5308979,1.2567269,-1.1331633
476,0.7090038,0.6059643,-1.4204423
477,0.7978211,0.7784961,1.0512904
478,0.26924428,-0.12762529,-1.5373241
479,0.4081886,-1.0688413,0.31235844
480,0.6233011,-0.336799,0.35574666
481,-1.0881615,-1.0450242,-1.1193807
482,0.6886087,-0.7850982,1.4018719
483,0.7441579,-0.66832346,1.0252157
484,0.7844894,0.98659873,0.33046705
485,0.43430805,-0.5347481,-0.008181392
486,1.1750413,0.32352638,0.638749
487,0.35050744,0.8903153,0.33821878
488,-1.5305377,-1.0641949,-1.4267492
489,-1.1431737,-1.0876269,0.5149946
490,0.6750772,1.0024495,-1.1639252
491,-0.15266763,-0.044484638,0.30074492
492,0.6872858,1.936042,0.55571383
493,1.4696945,0.11203375,1.9678138
494,0.4369539,0.35445666,0.73868763
495,0.9988681,1.4716909,-0.599089
496,-0.6009168,-1.0477223,-1.618389
497,0.29026672,-0.5815801,0.32266203
498,-0.043443177,1.2558273,-0.39829692
499,-0.13862425,-1.0718277,-0.22141105
500,0.42900226,-1.0696616,0.31567505
501,0.8753694,1.0100746,-0.29062977
502,-2.9912186,-1.0853848,0.07966418
503,0.6422076,-0.24825488,-0.18258432
504,-0.4859479,0.97646624,1.7324979
505,0.33603445,-1.0607717,-1.1843426
506,0.43192917,0.89074045,0.33776826
507,0.6886087,1.0700564,0.3211573
508,-1.242451,-1.0486214,-1.6104689
509,0.61624473,1.7090229,0.3426244
510,-1.6827134,-1.0699341,-0.46078885
511,-0.89999247,-1.0820699,0.28700617
512,0.5592672,1.5063044,2.0357637
513,-1.0002536,-1.039143,-1.5521626
514,0.31392094,1.255828,-0.39841104
515,0.41314408,1.915776,-1.1604382
516,-0.19740954,2.1797917,0.2075857
517,-0.28094015,-1.0671649,-0.7921553
518,-2.7498572,-1.0646594,0.2518484
519,-0.99740887,-0.3350008,0.20785391
520,0.6886087,-0.7987604,1.0996631
521,-0.6997475,-0.4102578,-0.080968864
522,0.6355076,-1.1356212,0.35101014
523,0.6878308,-0.52815205,-0.6378325
524,0.3718942,1.0072908,-0.9315211
525,0.24315295,0.34567675,0.3644337
526,0.3257792,2.1870549,0.9272552
527,0.41768906,-1.0651451,0.3153068
528,0.28743315,0.13927975,-1.2685494
529,0.6231977,2.1865232,-0.049846567
530,-2.7498572,-1.077438,0.25263086
531,-0.48225614,1.1424302,-1.2722014
532,-1.2995269,-1.041536,-1.5013987
533,0.6675742,0.6095884,0.34231693
534,0.11549373,0.38040385,-0.16987872
535,0.68849224,-0.83659583,0.38939542
536,-0.99913937,-1.0482936,-0.92138124
537,-0.7949567,-1.0538553,-1.2107024
538,0.72679615,1.6612295,0.36436784
539,0.6886087,0.16239256,-1.4548453
540,-1.5577191,-1.0708181,-0.8508392
541,0.6885816,-0.6395375,-1.3907518
542,-0.14264424,0.4186473,0.3425337
543,0.3303392,1.9583994,-1.0476193
544,0.035422023,-1.0697418,0.31184584
545,0.34195954,1.7475554,-0.16156536
546,0.29458782,-0.5826911,0.9658705
547,0.6886087,0.17405148,0.3502739
548,-1.8825328,-1.0395639,-1.6044813
549,-0.44017717,-0.6112927,-0.8208198
550,-1.0000327,-0.36188495,-1.5241203
551,0.22427453,-0.67204684,1.936905
552,-2.7472556,-1.0756832,0.1356268
553,1.3166114,0.6095853,0.010391071
554,1.9116983,1.0179045,-0.28204212
555,-0.6407243,-1.0588162,-0.64958936
556,-1.0908344,-1.0669773,0.022483045
557,0.08152702,1.5802046,1.5513403
558,-2.7464967,-1.0720139,-1.4324495
559,0.70349425,-0.64401597,0.30593315
560,0.49205247,-0.6144187,0.3387497
561,0.6727084,-0.84247303,0.35884848
562,-2.4919872,-1.0807407,0.28312507
563,0.6129796,1.0095335,-1.1589304
564,-0.46218124,-1.070664,-1.1297538
565,-1.0004823,-0.11087293,-1.6215256
566,-0.0439049,-0.55925167,-0.72891635
567,0.6839925,0.18333624,1.5292606
568,-1.6396236,-1.067747,-0.47329965
569,0.08916451,0.5607695,0.28622043
570,0.28752148,-0.049461603,1.4134201
571,0.5669639,-1.0596838,-1.3650044
572,-2.3199124,-1.0741136,-0.09453218
573,-0.15254016,-0.55293393,0.29773837
574,-0.7664764,-1.0469166,0.18472427
575,-2.7448316,-1.077709,0.28309834
576,0.2937226,-1.0816482,-1.1565859
577,-0.61034197,-1.0748737,-0.95590436
578,0.30784428,-1.0652379,0.31191725
579,-0.76120275,0.3284979,0.30123493
580,0.32364824,1.2882198,0.97335964
581,-1.4725654,-1.0417454,-0.11879827
582,0.19334514,0.10709064,0.6325186
583,0.6885987,-0.30078536,0.35116136
584,0.04625945,0.33696145,0.32885036
585,-2.2177422,-1.0768048,0.28318623
586,0.68406075,2.1813838,1.4932929
587,-0.62264484,-0.04127149,0.30048043
588,-0.14382565,-0.5513759,0.29966712
589,1.4986976,0.32821023,1.7207345
590,0.6877535,-0.63355094,-1.0954047
591,-1.515064,-0.3775136,-0.8109755
592,0.6886077,-0.5283761,-1.4645982
593,0.69036525,-0.59597325,-0.42355505
594,-0.14398725,-0.6859935,1.742392
595,-0.8721205,1.5899622,0.34178686
596,0.6886077,1.7059057,-1.4966215
597,1.4527282,-0.68765914,-0.5050824
598,-0.085161805,-0.18250343,-0.40130743
599,1.1396904,-1.0944437,-1.1846799
600,0.52301997,-0.43735364,-1.5023952
601,1.1948302,0.5311126,1.9570692
602,-1.2228941,-0.11350789,-0.91543037
603,0.44937024,0.03704713,0.3354824
604,0.16052572,1.3594248,-0.13207078
605,-0.08650381,-0.17242843,0.55326605
606,0.45709807,2.2598088,-1.4055371
607,0.5552783,1.404062,0.33696786
608,-0.92642206,-1.0811044,-0.22303534
609,0.78945893,-0.6104061,-0.40121862
610,0.6876973,0.12678458,0.79576474
611,0.39592385,-0.36748782,-1.4471698
612,0.6878057,0.15609333,-0.48570216
613,1.4419159,0.52273965,1.2469572
614,-0.8067868,1.0382687,-1.3551973
615,0.74475217,-0.35193923,-0.62111926
616,0.2636424,0.19981259,0.31629685
617,-0.91150844,-1.066387,-0.6442607
618,-2.725621,-1.0838317,0.28325358
619,0.81340325,1.714799,-1.311625
620,-0.55283743,-0.56556445,-0.23950659
621,-0.10361866,-0.34690788,-1.4093904
622,1.231242,1.2432019,1.1762183
623,-1.9566573,-1.0538231,-1.5904127
624,0.6304096,-0.30078536,-1.3092686
625,-1.252093,-1.0711969,0.28692916
626,0.37805218,0.60761744,0.30050394
627,-2.751125,-1.0494286,0.27807534
628,0.6593827,-1.0540891,-1.0934634
629,0.6886087,1.19895,0.29901356
630,0.26418743,-0.35491636,-1.1035355
631,-0.13883905,-0.1755564,-0.41264224
632,-2.7429276,-1.0207316,-1.6053644
633,-1.664655,-1.0655128,-0.3477601
634,-2.061929,-1.0381453,-1.6346408
635,0.6886087,-0.67031765,-1.5425681
636,0.6832136,1.574737,2.2243621
637,-0.56811947,-1.090622,0.2936757
638,0.65646076,1.9200519,-1.3077148
639,1.5651125,0.5714763,-1.4797789
640,0.6885926,-0.624071,-0.51656395
641,0.10223427,0.32280883,-0.6507617
642,0.34835842,-1.0440574,-1.6156467
643,0.69024885,1.2428238,0.32117647
644,0.6699832,-0.06722259,0.9974633
645,0.58295554,-0.6300169,-0.15781052
646,0.36991182,0.14020202,0.30000257
647,1.4861649,0.32580733,1.1703517
648,-0.12495726,1.9530631,-0.23992363
649,-0.014192058,0.7644609,-1.4638186
650,0.33104584,0.19732334,0.3148695
651,-1.8008631,-1.0747637,-0.09454404
652,-0.61011213,-0.3170748,-0.7795275
653,0.6573682,1.6373117,-0.7393597
654,0.3784587,0.13980749,0.30056372
655,0.6906483,-0.80752045,-1.6077434
656,0.685477,2.1788423,0.6833826
657,-2.7306898,-1.0706878,-0.09475418
658,-0.8862763,-1.0587102,-1.5990016
